scale,seed,baseline_run_key,instance_sha256,lower_bound,upper_bound,C_anchor,absolute_gap,relative_gap_g_i,solver_status,valid_UB,anchor_sha256,anchor_value_hex,rho_0_max_relative_slack_to_unknown_optimum,rho_001_max_effective_cost_increment
medium_large,170,"{""candidate"":""baseline"",""execution_attempt"":1,""rho"":""NOT_APPLICABLE"",""scale"":""medium_large"",""seed"":170,""stage"":""FINAL_HOLDOUT"",""task_type"":""baseline""}",3CD304539169E4477A0D1AFBD31727D958FF9231B62A56149058BAF3DCAACEA8,18762.562155256335,18764.217166863025,18764.217166863025,1.6550116066900955,8.820040782797964e-05,optimal,True,FD1A8862A34E799BA34389A1EB23F0BFDF6BCC9BB9806F68880C90DC5C06D247,0x1.2530de60fd79ep+14,8.820040782797964e-05,0.010089090269704393
medium_large,171,"{""candidate"":""baseline"",""execution_attempt"":1,""rho"":""NOT_APPLICABLE"",""scale"":""medium_large"",""seed"":171,""stage"":""FINAL_HOLDOUT"",""task_type"":""baseline""}",198BFC632488230E5EF4F7FBB4884A040AAFE8BA60E4BB7992F25895FB35B638,15330.942550695056,15332.432370847659,15332.432370847659,1.489820152602988,9.716789329758659e-05,optimal,True,AA8D06F4C12DDE3A7A39344995BCACE1BCC6B3B7397B2DF87EC99B0ED1349654,0x1.df23757ed8d38p+13,9.716789329758659e-05,0.010098149109172727
medium_large,172,"{""candidate"":""baseline"",""execution_attempt"":1,""rho"":""NOT_APPLICABLE"",""scale"":""medium_large"",""seed"":172,""stage"":""FINAL_HOLDOUT"",""task_type"":""baseline""}",B6252E1E1782E0DF0DB6426AD5353C0481F20FFC45A746663262141D0E510F01,18396.62867410694,18398.110957967925,18398.110957967925,1.4822838609834434,8.056717694386392e-05,optimal,True,A5C23CA484F3A9033AD0232858232944A050E7CD88F364419140F877DD4585D8,0x1.1f78719ef72dep+14,8.056717694386392e-05,0.010081379405222135
medium_large,173,"{""candidate"":""baseline"",""execution_attempt"":1,""rho"":""NOT_APPLICABLE"",""scale"":""medium_large"",""seed"":173,""stage"":""FINAL_HOLDOUT"",""task_type"":""baseline""}",991452363AC5E878C46C1432D39CB3FDE80F7E80FFDECE015D027B08E576E2CA,23451.60727848414,23452.358669221598,23452.358669221598,0.7513907374559494,3.2039026353543685e-05,optimal,True,2EC5696319CE58048C429309A8792EC097FC7469DCE38BA79886C085B0913B06,0x1.6e716f46fc036p+14,3.2039026353543685e-05,0.01003236045341449
medium_large,174,"{""candidate"":""baseline"",""execution_attempt"":1,""rho"":""NOT_APPLICABLE"",""scale"":""medium_large"",""seed"":174,""stage"":""FINAL_HOLDOUT"",""task_type"":""baseline""}",B9DE097F6FDBA14A6B31A9AB227041A2F2A001A9818FEEF4A0D556400FACF065,18350.02607889477,18351.777308499328,18351.777308499328,1.751229604557011,9.54256132862923e-05,optimal,True,009C9C98EDBB649BBF51440B3366579997B43924E3DD7244070C8B02E0FC10C5,0x1.1ebf1bf6c25e1p+14,9.54256132862923e-05,0.010096389067405065
medium_large,175,"{""candidate"":""baseline"",""execution_attempt"":1,""rho"":""NOT_APPLICABLE"",""scale"":""medium_large"",""seed"":175,""stage"":""FINAL_HOLDOUT"",""task_type"":""baseline""}",7EB1AD14BE910098C9E755EAEC4B5001A57107936EF2BA9EEB0A94E77EEEE05D,17243.398317195744,17245.029062777787,17245.029062777787,1.6307455820424366,9.456322608132271e-05,optimal,True,F5C3C1D218B6FF3CE47344553B68638A00D9043E65E45ACCD9A8428F3A303757,0x1.0d741dc2a2008p+14,9.456322608132271e-05,0.010095517890822192
medium_large,176,"{""candidate"":""baseline"",""execution_attempt"":1,""rho"":""NOT_APPLICABLE"",""scale"":""medium_large"",""seed"":176,""stage"":""FINAL_HOLDOUT"",""task_type"":""baseline""}",382EAE95BFE685752B23B125CC537A6D07ED066658113BFA8647F2720EF729B6,19473.28461899556,19475.17534186354,19475.17534186354,1.8907228679818218,9.708374044353544e-05,optimal,True,038A688E5B3044A2F70A79367E0F86355952327975B1624CC31D5B7DFDAA3649,0x1.304cb38cd1462p+14,9.708374044353544e-05,0.010098064098277293
medium_large,177,"{""candidate"":""baseline"",""execution_attempt"":1,""rho"":""NOT_APPLICABLE"",""scale"":""medium_large"",""seed"":177,""stage"":""FINAL_HOLDOUT"",""task_type"":""baseline""}",594570800EC6256518B4503552F5433A525A6C74A65316CEFC2A40D2F10D0D2B,18645.91792975353,18647.758759160155,18647.758759160155,1.8408294066248345,9.871585268769e-05,optimal,True,69C805837BDB4CF8F942B4CAF601525DD65DC0FB9431140866AC67847DA72D24,0x1.235f08f82949ap+14,9.871585268769e-05,0.01009971285445399
medium_large,178,"{""candidate"":""baseline"",""execution_attempt"":1,""rho"":""NOT_APPLICABLE"",""scale"":""medium_large"",""seed"":178,""stage"":""FINAL_HOLDOUT"",""task_type"":""baseline""}",5BF90AFF04500116D430BC9D6C0AC9C49ED397B6835AC7D8E96491ADD557FB65,21715.985969924932,21717.73540062065,21717.73540062065,1.7494306957196386,8.055309006433715e-05,optimal,True,DABA983851F391B1831A3A35BCF9EF4240D4F4BC6B975DEB2F0C201EB177496A,0x1.5356f10cdc3cap+14,8.055309006433715e-05,0.010081365175181212
medium_large,179,"{""candidate"":""baseline"",""execution_attempt"":1,""rho"":""NOT_APPLICABLE"",""scale"":""medium_large"",""seed"":179,""stage"":""FINAL_HOLDOUT"",""task_type"":""baseline""}",46F99738945EF39799C3988D15F8D82B053E1E9336F655EFF8D0B80F761930C3,17168.290396315737,17169.718190126463,17169.718190126463,1.4277938107261434,8.315767299822101e-05,optimal,True,3697F41A7848356DFEB3107B1A97440E4AFD4ACC001F5CBA320929FEA23E930E,0x1.0c46df6d3b85ep+14,8.315767299822101e-05,0.01008399623465972
