scale,seed,actual_robust_cost_rho_000,actual_robust_cost_rho_001,actual_robust_cost_change,robust_minimum_fill_rate_rho_000,robust_minimum_fill_rate_rho_001,robust_minimum_fill_rate_change,wminfr_rho_000,wminfr_rho_001,wminfr_change,actual_price_of_fairness_rho_000,actual_price_of_fairness_rho_001,budget_utilization_rho_000,budget_utilization_rho_001,budget_slack_rho_000,budget_slack_rho_001,opened_warehouses_rho_000,opened_warehouses_rho_001,opened_warehouse_change,y_vector_l1_change,x_inventory_l1_change,discrete_first_stage_configuration_switch
medium_large,170,18764.217166863033,18951.859338531725,187.64217166869275,0.7703182129549668,0.9526269931414499,0.1823087801864831,0.7703182129549668,0.9526269931414497,0.1823087801864829,4.440892098500626e-16,0.010000000000003784,1.0000000000000004,1.0000000000000036,-7.275957614183426e-12,-6.912159733474255e-11,6,6,0,0.0,186.01688236701722,False
medium_large,171,15332.432370847931,15485.75669455615,153.3243237082188,0.8695955251034998,0.984743557195771,0.1151480320922712,0.8695955251034998,0.984743557195771,0.1151480320922712,1.7763568394002505e-14,0.010000000000000897,1.0000000000000178,1.0000000000000009,-2.7284841053187847e-10,-1.4551915228366852e-11,6,6,0,0.0,189.7572678358347,False
medium_large,172,18398.110957967925,18582.09206754761,183.98110957968674,0.6893779518649934,0.8928220450179994,0.20344409315300604,0.6893779518649934,0.8928220450179994,0.20344409315300604,0.0,0.010000000000000453,1.0,1.0000000000000004,0.0,-7.275957614183426e-12,6,6,0,0.0,308.7355828829667,False
medium_large,173,23452.358669221598,23686.88225591383,234.52358669223395,0.625475388502478,0.82414260759722,0.19866721909474205,0.625475388502478,0.82414260759722,0.19866721909474205,0.0,0.010000000000000675,1.0,1.0000000000000007,0.0,-1.8189894035458565e-11,6,6,0,0.0,560.3316627654522,False
medium_large,174,18351.77730849934,18535.295081584332,183.51777308499368,0.8842161669699222,0.9854222923998897,0.10120612542996743,0.8842161669699222,0.9854222923998897,0.10120612542996743,6.661338147750939e-16,0.010000000000000675,1.0000000000000007,1.0000000000000007,-1.0913936421275139e-11,-1.0913936421275139e-11,6,6,0,0.0,195.12097180894008,False
medium_large,175,17245.029062777787,17417.479353405564,172.45029062777758,0.8234830306649545,0.9691744603781841,0.14569142971322957,0.8234830306649545,0.9691744603781841,0.14569142971322957,0.0,0.010000000000000009,1.0,1.0,0.0,0.0,6,6,0,0.0,180.99947402462755,False
medium_large,176,19475.17534186355,19669.927095282186,194.75175341863724,0.5190287523736825,0.8841258986789411,0.3650971463052586,0.5190287523736824,0.8841258986789411,0.3650971463052587,4.440892098500626e-16,0.010000000000000453,1.0000000000000004,1.0000000000000004,-7.275957614183426e-12,-7.275957614183426e-12,6,6,0,0.0,605.8951277122046,False
medium_large,177,18647.758759160155,18834.236346751764,186.47758759160934,0.7081495637015427,0.900266898001982,0.1921173343004393,0.7081495637015427,0.900266898001982,0.1921173343004393,0.0,0.010000000000000453,1.0,1.0000000000000004,0.0,-7.275957614183426e-12,6,6,0,0.0,299.2756179197433,False
medium_large,178,21717.73540062066,21934.912754627134,217.17735400647507,0.6042076258733396,0.8762639102159228,0.2720562843425831,0.6042076258733396,0.8762639102159078,0.2720562843425681,4.440892098500626e-16,0.010000000000012665,1.0000000000000004,1.0000000000000127,-7.275957614183426e-12,-2.764863893389702e-10,6,6,0,0.0,472.99560808145577,False
medium_large,179,17169.718190126463,17341.415372027735,171.69718190127242,0.6657223793683491,0.9589509991545047,0.29322861978615555,0.6657223793683491,0.9589509991545047,0.29322861978615555,0.0,0.010000000000000453,1.0,1.0000000000000004,0.0,-7.275957614183426e-12,6,6,0,0.0,252.48950387206423,False
