scale,seed,rho,C_anchor,cost_budget,actual_robust_cost,budget_utilization_u,budget_slack_fraction_s,budget_slack_absolute
medium_large,170,0.0,18764.217166863025,18764.217166863025,18764.217166863033,1.0000000000000004,-4.440892098500626e-16,-7.275957614183426e-12
medium_large,170,0.01,18764.217166863025,18951.859338531656,18951.859338531725,1.0000000000000036,-3.552713678800501e-15,-6.912159733474255e-11
medium_large,171,0.0,15332.432370847659,15332.432370847659,15332.432370847931,1.0000000000000178,-1.7763568394002505e-14,-2.7284841053187847e-10
medium_large,171,0.01,15332.432370847659,15485.756694556136,15485.75669455615,1.0000000000000009,-8.881784197001252e-16,-1.4551915228366852e-11
medium_large,172,0.0,18398.110957967925,18398.110957967925,18398.110957967925,1.0,0.0,0.0
medium_large,172,0.01,18398.110957967925,18582.092067547605,18582.09206754761,1.0000000000000004,-4.440892098500626e-16,-7.275957614183426e-12
medium_large,173,0.0,23452.358669221598,23452.358669221598,23452.358669221598,1.0,0.0,0.0
medium_large,173,0.01,23452.358669221598,23686.882255913813,23686.88225591383,1.0000000000000007,-6.661338147750939e-16,-1.8189894035458565e-11
medium_large,174,0.0,18351.777308499328,18351.777308499328,18351.77730849934,1.0000000000000007,-6.661338147750939e-16,-1.0913936421275139e-11
medium_large,174,0.01,18351.777308499328,18535.29508158432,18535.295081584332,1.0000000000000007,-6.661338147750939e-16,-1.0913936421275139e-11
medium_large,175,0.0,17245.029062777787,17245.029062777787,17245.029062777787,1.0,0.0,0.0
medium_large,175,0.01,17245.029062777787,17417.479353405564,17417.479353405564,1.0,0.0,0.0
medium_large,176,0.0,19475.17534186354,19475.17534186354,19475.17534186355,1.0000000000000004,-4.440892098500626e-16,-7.275957614183426e-12
medium_large,176,0.01,19475.17534186354,19669.92709528218,19669.927095282186,1.0000000000000004,-4.440892098500626e-16,-7.275957614183426e-12
medium_large,177,0.0,18647.758759160155,18647.758759160155,18647.758759160155,1.0,0.0,0.0
medium_large,177,0.01,18647.758759160155,18834.236346751757,18834.236346751764,1.0000000000000004,-4.440892098500626e-16,-7.275957614183426e-12
medium_large,178,0.0,21717.73540062065,21717.73540062065,21717.73540062066,1.0000000000000004,-4.440892098500626e-16,-7.275957614183426e-12
medium_large,178,0.01,21717.73540062065,21934.912754626857,21934.912754627134,1.0000000000000127,-1.2656542480726785e-14,-2.764863893389702e-10
medium_large,179,0.0,17169.718190126463,17169.718190126463,17169.718190126463,1.0,0.0,0.0
medium_large,179,0.01,17169.718190126463,17341.415372027728,17341.415372027735,1.0000000000000004,-4.440892098500626e-16,-7.275957614183426e-12
large,170,0.0,25541.01178117349,25541.01178117349,25541.011781173504,1.0000000000000007,-6.661338147750939e-16,-1.4551915228366852e-11
large,170,0.01,25541.01178117349,25796.421898985223,25796.42189898523,1.0000000000000002,-2.220446049250313e-16,-7.275957614183426e-12
large,171,0.0,29379.13279849213,29379.13279849213,29379.13279849213,1.0,0.0,0.0
large,171,0.01,29379.13279849213,29672.92412647705,29672.924126477054,1.0000000000000002,-2.220446049250313e-16,-3.637978807091713e-12
large,172,0.0,50979.16172795266,50979.16172795266,50979.16172795266,1.0,0.0,0.0
large,172,0.01,50979.16172795266,51488.95334523219,51488.9533452322,1.0000000000000002,-2.220446049250313e-16,-7.275957614183426e-12
large,173,0.0,28560.375439544066,28560.375439544066,28560.375439544074,1.0000000000000002,-2.220446049250313e-16,-7.275957614183426e-12
large,173,0.01,28560.375439544066,28845.979193939507,28845.979193939518,1.0000000000000004,-4.440892098500626e-16,-1.0913936421275139e-11
large,174,0.0,33891.15907983295,33891.15907983295,33891.159079832956,1.0000000000000002,-2.220446049250313e-16,-7.275957614183426e-12
large,174,0.01,33891.15907983295,34230.07067063128,34230.07067063129,1.0000000000000004,-4.440892098500626e-16,-1.4551915228366852e-11
large,175,0.0,24573.32958922247,24573.32958922247,24573.329589222474,1.0000000000000002,-2.220446049250313e-16,-3.637978807091713e-12
large,175,0.01,24573.32958922247,24819.062885114694,24819.062885114698,1.0000000000000002,-2.220446049250313e-16,-3.637978807091713e-12
large,176,0.0,24277.642478730042,24277.642478730042,24277.64247873005,1.0000000000000002,-2.220446049250313e-16,-7.275957614183426e-12
large,176,0.01,24277.642478730042,24520.418903517344,24520.418903517348,1.0000000000000002,-2.220446049250313e-16,-3.637978807091713e-12
large,177,0.0,23593.946009630865,23593.946009630865,23593.946009630872,1.0000000000000002,-2.220446049250313e-16,-7.275957614183426e-12
large,177,0.01,23593.946009630865,23829.885469727174,23829.885469727193,1.0000000000000007,-6.661338147750939e-16,-1.8189894035458565e-11
large,178,0.0,24954.48148336132,24954.48148336132,24954.481483361313,0.9999999999999997,3.3306690738754696e-16,7.275957614183426e-12
large,178,0.01,24954.48148336132,25204.026298194934,25204.026298194934,1.0,0.0,0.0
large,179,0.0,47082.15292116844,47082.15292116844,47082.1529211684,0.9999999999999992,7.771561172376096e-16,3.637978807091713e-11
large,179,0.01,47082.15292116844,47552.97445038013,47552.97445038018,1.000000000000001,-1.1102230246251565e-15,-5.093170329928398e-11
