task_type,seed,rho,scientific_status,algorithm_status,algorithm_runtime,total_wall_runtime,penalized_runtime_par2,iterations,cuts,lower_bound,upper_bound,gap,objective_t,committed_scenario_count,post_evaluation_valid,post_evaluation_scenario_count
baseline,160,NOT_APPLICABLE,certified_robust_optimal,optimal,693.8751652999781,693.8751652999781,693.8751652999781,640,640,23989.31290254007,23991.291043119134,8.245244391009812e-05,,,,
frontier,160,0.0,certified_robust_optimal,optimal,95.82368219993077,174.00501539814286,95.82368219993077,9,8,0.0750160357508425,0.0750160357508425,0.0,0.0750160357508425,21,True,4657
frontier,160,0.01,certified_robust_optimal,optimal,140.78537109983154,233.42320890002884,140.78537109983154,10,9,0.008326511693504133,0.008326511693504133,0.0,0.008326511693504133,22,True,4657
frontier,160,0.1,certified_robust_optimal,optimal,108.37979570007883,205.83845269982703,108.37979570007883,9,8,0.008321609006896468,0.008321609006896468,0.0,0.008321609006896468,21,True,4657
baseline,161,NOT_APPLICABLE,certified_robust_optimal,optimal,841.4469012999907,841.4469012999907,841.4469012999907,656,656,27183.000460488147,27185.44356031947,8.986794075664432e-05,,,,
frontier,161,0.0,certified_robust_optimal,optimal,63.480717699974775,132.45067939627916,63.480717699974775,7,6,0.19045612428304745,0.19045612428304745,0.0,0.19045612428304745,19,True,4657
frontier,161,0.01,certified_robust_optimal,optimal,64.72841059998609,141.89163590036333,64.72841059998609,6,5,0.03364057404010471,0.03364057404010471,0.0,0.03364057404010471,18,True,4657
frontier,161,0.1,certified_robust_optimal,optimal,39.50803400017321,123.44144309777766,39.50803400017321,3,2,0.02693053064598973,0.02693053064598973,0.0,0.02693053064598973,15,True,4657
baseline,162,NOT_APPLICABLE,certified_robust_optimal,optimal,566.4431613998022,566.4431613998022,566.4431613998022,668,668,26168.203264460062,26170.435923690497,8.531226751226085e-05,,,,
frontier,162,0.0,certified_robust_optimal,optimal,100.96682480000891,152.0212855990976,100.96682480000891,12,11,0.09846556578313183,0.09846556578313183,0.0,0.09846556578313183,24,True,4657
frontier,162,0.01,certified_robust_optimal,optimal,97.58301539998502,149.98697789944708,97.58301539998502,11,10,0.008043759291767212,0.008043759291767212,0.0,0.008043759291767212,23,True,4657
frontier,162,0.1,certified_robust_optimal,optimal,53.567119600018486,108.44707970041782,53.567119600018486,9,8,0.005621271967672341,0.005621271967672341,0.0,0.005621271967672341,21,True,4657
