scale,rho,seed_count,metric,label,unit,mean,median,standard_deviation,iqr,min,max
medium_large,0.0,10,actual_price_of_fairness,Actual price of fairness,fraction_of_baseline_cost,1.9761969838327787e-15,2.220446049250313e-16,5.553039176257044e-15,4.440892098500626e-16,0.0,1.7763568394002505e-14
medium_large,0.0,10,actual_robust_cost,Post-evaluation robust cost,model_cost_units,18855.431322794844,18522.93485856404,2311.0702506199236,1775.7196739052451,15332.432370847931,23452.358669221598
medium_large,0.0,10,algorithm_runtime,Algorithm runtime,seconds,20.2018087499775,19.250864249886945,7.307663058518808,7.880087949917652,11.218934800010175,34.97526019997895
medium_large,0.0,10,cut_count,Certified Farkas cuts,count,5.8,6.0,2.2010098692292237,2.5,3.0,10.0
medium_large,0.0,10,iterations,Algorithm iterations,count,6.8,7.0,2.2010098692292237,2.5,4.0,11.0
medium_large,0.0,10,minimum_weighted_mean_fill_rate,Worst-scenario demand-weighted mean regional fill rate,fraction,0.94193042295078,0.9544851095051884,0.0403076729532119,0.06850309194808923,0.8693296393675243,0.985145774827054
medium_large,0.0,10,objective_t,Certified robust worst-region shortage rate (T),fraction,0.28404254026222714,0.30123624221673195,0.11980513378406421,0.17465469001851186,0.11578383303007776,0.48097124762631754
medium_large,0.0,10,penalized_runtime_par2,PAR-2 algorithm runtime,seconds,20.2018087499775,19.250864249886945,7.307663058518808,7.880087949917652,11.218934800010175,34.97526019997895
medium_large,0.0,10,post_evaluation_wall_runtime,Post-evaluation wall time,seconds,7.05831618977245,6.8580759490141645,0.6127751815446416,0.5336083003203385,6.510628300020471,8.62827320001088
medium_large,0.0,10,robust_minimum_fill_rate,Certified robust minimum regional fill-rate guarantee (1 - T),fraction,0.7159574597377729,0.698763757783268,0.11980513378406421,0.17465469001851197,0.5190287523736825,0.8842161669699222
medium_large,0.0,10,scenario_count,Committed master scenario blocks,count,16.8,17.0,2.2010098692292237,2.5,14.0,21.0
medium_large,0.0,10,total_wall_runtime,Total wall time,seconds,31.97075692943763,30.547749150544405,7.85189508647179,7.589494900312275,23.296786698279902,49.16016190010123
medium_large,0.0,10,wgap,Post-evaluation worst fill-rate range,fraction,0.28404254026222714,0.30123624221673195,0.11980513378406422,0.17465469001851186,0.11578383303007778,0.4809712476263176
medium_large,0.0,10,wminfr,Post-evaluation worst-scenario minimum regional fill rate,fraction,0.7159574597377729,0.698763757783268,0.11980513378406422,0.17465469001851197,0.5190287523736824,0.8842161669699222
medium_large,0.0,10,wwd,Post-evaluation worst regional deviation below weighted mean,fraction,0.23436567458749105,0.2355444185674504,0.09417184709084797,0.12251316863382078,0.10602746946682773,0.40742169880854484
medium_large,0.01,10,actual_price_of_fairness,Actual price of fairness,fraction_of_baseline_cost,0.010000000000002052,0.010000000000000564,3.8754399909289205e-15,3.885780586188048e-16,0.010000000000000009,0.010000000000012665
medium_large,0.01,10,actual_robust_cost,Post-evaluation robust cost,model_cost_units,19043.985636022804,18708.16420714969,2334.180953126207,1793.4768706443137,15485.75669455615,23686.88225591383
medium_large,0.01,10,algorithm_runtime,Algorithm runtime,seconds,20.998314279969783,21.021270249970257,5.65394845051453,8.101662274973933,13.754997200099751,30.545171099947765
medium_large,0.01,10,cut_count,Certified Farkas cuts,count,5.3,5.5,1.5670212364724212,2.5,3.0,7.0
medium_large,0.01,10,iterations,Algorithm iterations,count,6.3,6.5,1.5670212364724212,2.5,4.0,8.0
medium_large,0.01,10,minimum_weighted_mean_fill_rate,Worst-scenario demand-weighted mean regional fill rate,fraction,0.9426162300315852,0.9520152653719811,0.04142231822135879,0.07004419788701144,0.8693817099436832,0.9899358945071663
medium_large,0.01,10,objective_t,Certified robust worst-region shortage rate (T),fraction,0.07714603382181354,0.07355305442828404,0.0546774936501414,0.08031865980855861,0.01457770760011039,0.17585739240277992
medium_large,0.01,10,penalized_runtime_par2,PAR-2 algorithm runtime,seconds,20.998314279969783,21.021270249970257,5.65394845051453,8.101662274973933,13.754997200099751,30.545171099947765
medium_large,0.01,10,post_evaluation_wall_runtime,Post-evaluation wall time,seconds,7.061489999573678,6.918924099183641,0.454603162517439,0.7253761483007111,6.498941198922694,7.7027455002535135
medium_large,0.01,10,robust_minimum_fill_rate,Certified robust minimum regional fill-rate guarantee (1 - T),fraction,0.9228539661781865,0.9264469455717159,0.054677493650141414,0.08031865980855857,0.82414260759722,0.9854222923998897
medium_large,0.01,10,scenario_count,Committed master scenario blocks,count,16.3,16.5,1.5670212364724212,2.5,14.0,18.0
medium_large,0.01,10,total_wall_runtime,Total wall time,seconds,32.76313202893361,32.765129950479604,5.667720137717235,8.027184549951926,24.45132199721411,42.297702498035505
medium_large,0.01,10,wgap,Post-evaluation worst fill-rate range,fraction,0.07449084572732352,0.06027711395582647,0.054100419653410246,0.08031865980855857,0.014577707600110346,0.17585739240277998
medium_large,0.01,10,wminfr,Post-evaluation worst-scenario minimum regional fill rate,fraction,0.922853966178185,0.9264469455717159,0.054677493650142815,0.08031865980855857,0.82414260759722,0.9854222923998897
medium_large,0.01,10,wwd,Post-evaluation worst regional deviation below weighted mean,fraction,0.03525786374028629,0.026375370032962864,0.020566656018509655,0.031020334231469465,0.013272924458881286,0.06955103365386084
medium_large,0.025,10,actual_price_of_fairness,Actual price of fairness,fraction_of_baseline_cost,0.02461534975101647,0.025000000000000022,0.0008370378043995253,2.220446049250313e-16,0.022636602181644427,0.0250000000000008
medium_large,0.025,10,actual_robust_cost,Post-evaluation robust cost,model_cost_units,19320.205890611865,18986.008230028143,2373.7896796461605,1830.955803366338,15693.003578044478,24038.667635952137
medium_large,0.025,10,algorithm_runtime,Algorithm runtime,seconds,20.545270840008744,17.983524449984543,6.2511113521835835,5.535708875104319,14.109506900189444,35.7355950998608
medium_large,0.025,10,cut_count,Certified Farkas cuts,count,5.0,4.5,1.699673171197595,1.75,3.0,9.0
medium_large,0.025,10,iterations,Algorithm iterations,count,6.0,5.5,1.699673171197595,1.75,4.0,10.0
medium_large,0.025,10,minimum_weighted_mean_fill_rate,Worst-scenario demand-weighted mean regional fill rate,fraction,0.9459082854994738,0.9549051364748946,0.04173032201429525,0.06686664666366637,0.8693466673709638,0.9958016054565233
medium_large,0.025,10,objective_t,Certified robust worst-region shortage rate (T),fraction,0.054739273066835126,0.04806594167255359,0.041869399786410216,0.06686664666366646,0.0041983945434766546,0.1311867619972303
medium_large,0.025,10,penalized_runtime_par2,PAR-2 algorithm runtime,seconds,20.545270840008744,17.983524449984543,6.2511113521835835,5.535708875104319,14.109506900189444,35.7355950998608
medium_large,0.025,10,post_evaluation_wall_runtime,Post-evaluation wall time,seconds,7.345683380076662,6.790281199617311,1.3174166347602716,0.5329300731536932,6.619058701209724,10.940083300229162
medium_large,0.025,10,robust_minimum_fill_rate,Certified robust minimum regional fill-rate guarantee (1 - T),fraction,0.9452607269331649,0.9519340583274464,0.04186939978641021,0.06686664666366637,0.8688132380027697,0.9958016054565233
medium_large,0.025,10,scenario_count,Committed master scenario blocks,count,16.0,15.5,1.699673171197595,1.75,14.0,20.0
medium_large,0.025,10,total_wall_runtime,Total wall time,seconds,32.61748530026525,29.20000245142728,6.728014744986228,5.264089275035076,26.666787899797782,47.23134209983982
medium_large,0.025,10,wgap,Post-evaluation worst fill-rate range,fraction,0.05069263234883028,0.048065941672553625,0.03616732589662484,0.057311297085867935,0.004198394543476702,0.10827142327818595
medium_large,0.025,10,wminfr,Post-evaluation worst-scenario minimum regional fill rate,fraction,0.9452607269331648,0.9519340583274464,0.04186939978641019,0.06686664666366637,0.8688132380027697,0.9958016054565232
medium_large,0.025,10,wwd,Post-evaluation worst regional deviation below weighted mean,fraction,0.015861872992922365,0.016893902222186064,0.005590471000571078,0.0040345135578285785,0.003778409163183283,0.024978903136618547
medium_large,0.05,10,actual_price_of_fairness,Actual price of fairness,fraction_of_baseline_cost,0.04527882381812487,0.04998130937032286,0.008972716751364284,0.002979637950617675,0.027921262151440196,0.05000000000000315
medium_large,0.05,10,actual_robust_cost,Post-evaluation robust cost,model_cost_units,19718.35640466702,19449.081601492275,2500.12459558765,2016.069208640889,15775.83787330554,24624.9766026827
medium_large,0.05,10,algorithm_runtime,Algorithm runtime,seconds,19.890980649972335,18.694711199961603,5.800317289144799,5.710285999986809,12.327032800065354,32.1587238998618
medium_large,0.05,10,cut_count,Certified Farkas cuts,count,5.0,5.0,1.7638342073763937,1.75,3.0,9.0
medium_large,0.05,10,iterations,Algorithm iterations,count,6.0,6.0,1.7638342073763937,1.75,4.0,10.0
medium_large,0.05,10,minimum_weighted_mean_fill_rate,Worst-scenario demand-weighted mean regional fill rate,fraction,0.9479492709252094,0.9568231877521021,0.04004215062920584,0.06427712602203017,0.8740684531899902,0.9958016054565233
medium_large,0.05,10,objective_t,Certified robust worst-region shortage rate (T),fraction,0.05205072907479047,0.04317681224789794,0.04004215062920584,0.06427712602202998,0.004198394543476652,0.1259315468100099
medium_large,0.05,10,penalized_runtime_par2,PAR-2 algorithm runtime,seconds,19.890980649972335,18.694711199961603,5.800317289144799,5.710285999986809,12.327032800065354,32.1587238998618
medium_large,0.05,10,post_evaluation_wall_runtime,Post-evaluation wall time,seconds,7.357329440140165,6.9721969505771995,1.0961511557717176,0.3176397753995843,6.732035398017615,10.363337600370869
medium_large,0.05,10,robust_minimum_fill_rate,Certified robust minimum regional fill-rate guarantee (1 - T),fraction,0.9479492709252095,0.9568231877521021,0.04004215062920584,0.06427712602202995,0.87406845318999,0.9958016054565233
medium_large,0.05,10,scenario_count,Committed master scenario blocks,count,16.0,16.0,1.7638342073763937,1.75,14.0,20.0
medium_large,0.05,10,total_wall_runtime,Total wall time,seconds,32.062993020215075,30.949233699939214,6.4109112680072595,5.840552978857886,24.200027901446447,43.80851489980705
medium_large,0.05,10,wgap,Post-evaluation worst fill-rate range,fraction,0.04990515681162074,0.04317681224789838,0.03835464887166696,0.056248659110906735,0.004198394543476702,0.12365797987547889
medium_large,0.05,10,wminfr,Post-evaluation worst-scenario minimum regional fill rate,fraction,0.9479492709252089,0.9568231877521016,0.04004215062920606,0.06427712602203184,0.87406845318999,0.9958016054565233
medium_large,0.05,10,wwd,Post-evaluation worst regional deviation below weighted mean,fraction,0.014964619003876412,0.016692540326775418,0.004593495152347861,0.003538671745537042,0.003778409163183283,0.01994372095188901
medium_large,0.1,10,actual_price_of_fairness,Actual price of fairness,fraction_of_baseline_cost,0.07969461925257637,0.09993333409112903,0.028770302541539342,0.04462352320032775,0.03268023141203735,0.10000000000000098
medium_large,0.1,10,actual_robust_cost,Post-evaluation robust cost,model_cost_units,20391.996965677758,20240.62937218414,2835.8565783310987,2293.9733518136054,15915.262910116886,25797.594536143755
medium_large,0.1,10,algorithm_runtime,Algorithm runtime,seconds,16.03681068001315,15.868044750066474,6.5263374744676135,5.350556599965785,5.787562699988484,30.222528900019825
medium_large,0.1,10,cut_count,Certified Farkas cuts,count,4.1,3.5,2.183269719175042,1.75,1.0,9.0
medium_large,0.1,10,iterations,Algorithm iterations,count,5.1,4.5,2.183269719175042,1.75,2.0,10.0
medium_large,0.1,10,minimum_weighted_mean_fill_rate,Worst-scenario demand-weighted mean regional fill rate,fraction,0.9498131644457525,0.9570825415335162,0.037623646901157756,0.0621834902338777,0.8819405304932221,0.9958016054565233
medium_large,0.1,10,objective_t,Certified robust worst-region shortage rate (T),fraction,0.0501868355542475,0.042917458466483774,0.037623646901157784,0.062183490233877745,0.004198394543476649,0.11805946950677798
medium_large,0.1,10,penalized_runtime_par2,PAR-2 algorithm runtime,seconds,16.03681068001315,15.868044750066474,6.5263374744676135,5.350556599965785,5.787562699988484,30.222528900019825
medium_large,0.1,10,post_evaluation_wall_runtime,Post-evaluation wall time,seconds,7.351352029968984,6.9061280995374545,0.9950966748823922,0.6709880244452506,6.659904000815004,9.787594700232148
medium_large,0.1,10,robust_minimum_fill_rate,Certified robust minimum regional fill-rate guarantee (1 - T),fraction,0.9498131644457525,0.9570825415335162,0.03762364690115779,0.062183490233877814,0.881940530493222,0.9958016054565233
medium_large,0.1,10,scenario_count,Committed master scenario blocks,count,15.1,14.5,2.183269719175042,1.75,12.0,20.0
medium_large,0.1,10,total_wall_runtime,Total wall time,seconds,28.269599109562115,27.680551200173795,6.939457041834157,6.914686852716841,17.54372270172462,41.330211598891765
