scale,rho,n,objective_t_mean,objective_t_sd,robust_minimum_fill_rate_mean,robust_minimum_fill_rate_sd,minimum_weighted_mean_fill_rate_mean,minimum_weighted_mean_fill_rate_sd,wminfr_mean,wminfr_sd,actual_robust_cost_mean,actual_robust_cost_sd,actual_price_of_fairness_mean,actual_price_of_fairness_sd,algorithm_runtime_mean,algorithm_runtime_sd,post_evaluation_wall_runtime_mean,post_evaluation_wall_runtime_sd,total_wall_runtime_mean,total_wall_runtime_sd,iterations_mean,iterations_sd,scenario_count_mean,scenario_count_sd,cut_count_mean,cut_count_sd
medium_large,0.0,10,0.28404254026222714,0.11980513378406421,0.7159574597377729,0.11980513378406421,0.94193042295078,0.0403076729532119,0.7159574597377729,0.11980513378406422,18855.431322794844,2311.0702506199236,1.9761969838327787e-15,5.553039176257044e-15,20.2018087499775,7.307663058518808,7.05831618977245,0.6127751815446416,31.97075692943763,7.85189508647179,6.8,2.2010098692292237,16.8,2.2010098692292237,5.8,2.2010098692292237
medium_large,0.01,10,0.07714603382181354,0.0546774936501414,0.9228539661781865,0.054677493650141414,0.9426162300315852,0.04142231822135879,0.922853966178185,0.054677493650142815,19043.985636022804,2334.180953126207,0.010000000000002052,3.8754399909289205e-15,20.998314279969783,5.65394845051453,7.061489999573678,0.454603162517439,32.76313202893361,5.667720137717235,6.3,1.5670212364724212,16.3,1.5670212364724212,5.3,1.5670212364724212
medium_large,0.025,10,0.054739273066835126,0.041869399786410216,0.9452607269331649,0.04186939978641021,0.9459082854994738,0.04173032201429525,0.9452607269331648,0.04186939978641019,19320.205890611865,2373.7896796461605,0.02461534975101647,0.0008370378043995253,20.545270840008744,6.2511113521835835,7.345683380076662,1.3174166347602716,32.61748530026525,6.728014744986228,6.0,1.699673171197595,16.0,1.699673171197595,5.0,1.699673171197595
medium_large,0.05,10,0.05205072907479047,0.04004215062920584,0.9479492709252095,0.04004215062920584,0.9479492709252094,0.04004215062920584,0.9479492709252089,0.04004215062920606,19718.35640466702,2500.12459558765,0.04527882381812487,0.008972716751364284,19.890980649972335,5.800317289144799,7.357329440140165,1.0961511557717176,32.062993020215075,6.4109112680072595,6.0,1.7638342073763937,16.0,1.7638342073763937,5.0,1.7638342073763937
medium_large,0.1,10,0.0501868355542475,0.037623646901157784,0.9498131644457525,0.03762364690115779,0.9498131644457525,0.037623646901157756,0.9498131644457521,0.03762364690115765,20391.996965677758,2835.8565783310987,0.07969461925257637,0.028770302541539342,16.03681068001315,6.5263374744676135,7.351352029968984,0.9950966748823922,28.269599109562115,6.939457041834157,5.1,2.183269719175042,15.1,2.183269719175042,4.1,2.183269719175042
large,0.0,10,0.23603469984584566,0.14662465705106523,0.7639653001541543,0.14662465705106523,0.9209968783966402,0.07654726429397003,0.7639653001541543,0.14662465705106523,31283.239330910845,9897.411252335398,6.661338147750939e-17,3.8884230758414213e-16,76.5302649500547,26.250418981154333,32.1972444802057,0.972897597402887,131.8450028801104,27.446479576989333,8.7,2.9078437983419185,20.7,2.9078437983419185,7.7,2.9078437983419185
large,0.01,10,0.08953872765143865,0.09460491881538288,0.9104612723485614,0.09460491881538287,0.9225635287773292,0.07754861447536915,0.9104612723485612,0.09460491881538287,31596.071724219964,9996.385364858768,0.010000000000000365,3.8029527907997864e-16,75.28985698001925,23.900313538222445,33.893646359909326,3.386289130014671,131.88822166034953,23.680036576274937,8.0,2.6666666666666665,20.0,2.6666666666666665,7.0,2.6666666666666665
large,0.025,10,0.07571306914613941,0.07778162495392585,0.9242869308538605,0.07778162495392585,0.9242869308538605,0.07778162495392585,0.9242869308538604,0.07778162495392595,32026.135721589304,10175.828585451532,0.023384536632440202,0.0023099995167256654,66.36796710998752,20.758210685973392,32.92348476047628,0.9705666058048873,121.7187460603891,20.813058499200412,7.1,2.282785822435191,19.1,2.282785822435191,6.1,2.282785822435191
large,0.05,10,0.07439546927527066,0.07658613563636837,0.9256045307247293,0.07658613563636837,0.9256045307247293,0.07658613563636832,0.9256045307247291,0.07658613563636843,32613.71517655527,10577.374852183273,0.04039001297534237,0.012307635867098368,61.666705459984954,21.41797215210387,32.84090005012695,0.889912960204695,116.83431524988264,21.51621799710702,6.7,2.4517567397911058,18.7,2.4517567397911058,5.7,2.4517567397911058
large,0.1,10,0.07251636073034357,0.07468434697161114,0.9274836392696564,0.07468434697161112,0.9274836392696564,0.07468434697161115,0.9274836392696562,0.07468434697161136,33799.02465321083,11381.584760500618,0.07483331263353458,0.03259189283007235,54.85905923997052,18.142432198645718,32.8287001194898,0.855947424982111,110.03414262980223,18.548990587800958,6.5,2.5495097567963922,18.5,2.5495097567963922,5.5,2.5495097567963922
