medium_large_source_archive_sha256,large_source_archive_sha256,scale,task_type,candidate,rho,planned_count,completed_count,certified_count,time_limit_uncertified_count,other_uncertified_count,implementation_error_count,invalid_post_evaluation_count,mean_algorithm_runtime,mean_penalized_runtime_par2,mean_separation_runtime,mean_master_runtime,mean_total_wall_runtime,mean_iterations,mean_cuts
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,ALL_SCALES,ALL_TASK_TYPES,ALL_CANDIDATES,ALL_RHOS,54,54,26,25,3,0,0,985.0196944462929,2009.4193788722148,532.4436774019678,417.45616703729695,990.2739780094837,1551.3148148148148,2838.537037037037
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,ALL_SCALES,baseline,ALL_CANDIDATES,ALL_RHOS,6,6,6,0,0,0,0,326.7755076333415,326.7755076333415,0.0,22.11454341587766,326.7755076333415,440.0,440.0
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,ALL_SCALES,frontier,ALL_CANDIDATES,ALL_RHOS,48,48,20,25,3,0,0,1067.3002177979117,2219.749862777074,598.9991370772137,466.87386998997437,1073.2112868065014,1690.2291666666667,3138.3541666666665
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,ALL_SCALES,frontier,persistent_certified_cache,ALL_RHOS,12,12,2,7,3,0,0,1102.2631494999903,3012.0874059333196,86.76404602592811,1013.1926039574319,1104.5491090834646,4408.75,4408.166666666667
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,ALL_SCALES,frontier,persistent_certified_cache_batch5,ALL_RHOS,12,12,6,6,0,0,0,979.4196334500448,1879.4005335416878,142.9068182091772,834.9205777261523,986.3995123920225,1467.4166666666667,7263.5
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,ALL_SCALES,frontier,persistent_separation,ALL_RHOS,12,12,6,6,0,0,0,1091.6967876583028,1991.693368208323,1081.9056591001379,9.539359401038382,1099.1764220668313,447.0833333333333,445.5833333333333
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,ALL_SCALES,frontier,single_cut,ALL_RHOS,12,12,6,6,0,0,0,1095.8213005833095,1995.8181434249661,1084.420024973612,9.842938875275044,1102.7201036836875,437.6666666666667,436.1666666666667
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,ALL_TASK_TYPES,ALL_CANDIDATES,ALL_RHOS,27,27,3,24,0,0,0,1669.272735829646,3269.257334640741,878.7577829034913,723.9100194713704,1669.272735829646,2231.6296296296296,4286.0
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,baseline,ALL_CANDIDATES,ALL_RHOS,3,3,3,0,0,0,0,623.3160117666703,623.3160117666703,0.0,40.659465598873794,623.3160117666703,654.6666666666666,654.6666666666666
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,baseline,joint_v1_core_point_strengthened,NOT_APPLICABLE,3,3,3,0,0,0,0,623.3160117666703,623.3160117666703,0.0,40.659465598873794,623.3160117666703,654.6666666666666,654.6666666666666
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,frontier,ALL_CANDIDATES,ALL_RHOS,24,24,0,24,0,0,0,1800.0173263375182,3600.0,988.6025057664277,809.3163387054325,1800.0173263375182,2428.75,4739.916666666667
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,frontier,persistent_certified_cache,0.0,3,3,0,3,0,0,0,1800.0185370000545,3600.0,141.66999459825456,1654.9650439661152,1800.0185370000545,6267.333333333333,6267.333333333333
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,frontier,persistent_certified_cache,0.01,3,3,0,3,0,0,0,1800.01736763337,3600.0,137.8819965016252,1658.6240631344263,1800.01736763337,6266.333333333333,6266.333333333333
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,frontier,persistent_certified_cache,ALL_RHOS,6,6,0,6,0,0,0,1800.0179523167124,3600.0,139.7759955499399,1656.7945535502706,1800.0179523167124,6266.833333333333,6266.833333333333
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,frontier,persistent_certified_cache_batch5,0.0,3,3,0,3,0,0,0,1800.024448066717,3600.0,247.10176296780506,1550.4369722035092,1800.024448066717,2340.0,11700.0
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,frontier,persistent_certified_cache_batch5,0.01,3,3,0,3,0,0,0,1800.051951566711,3600.0,235.36485673153462,1562.2825729002554,1800.051951566711,2283.3333333333335,11416.666666666666
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,frontier,persistent_certified_cache_batch5,ALL_RHOS,6,6,0,6,0,0,0,1800.038199816714,3600.0,241.23330984966984,1556.3597725518823,1800.038199816714,2311.6666666666665,11558.333333333334
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,frontier,persistent_separation,0.0,3,3,0,3,0,0,0,1800.0073061666142,3600.0,1787.62909020142,12.04150160192512,1800.0073061666142,558.6666666666666,557.6666666666666
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,frontier,persistent_separation,0.01,3,3,0,3,0,0,0,1800.006371633305,3600.0,1787.6207312011782,12.031146101265525,1800.006371633305,601.6666666666666,600.6666666666666
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,frontier,persistent_separation,ALL_RHOS,6,6,0,6,0,0,0,1800.0068388999596,3600.0,1787.624910701299,12.036323851595322,1800.0068388999596,580.1666666666666,579.1666666666666
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,frontier,single_cut,0.0,3,3,0,3,0,0,0,1800.0064408665833,3600.0,1785.2813557647944,12.648918035440147,1800.0064408665833,561.6666666666666,560.6666666666666
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,frontier,single_cut,0.01,3,3,0,3,0,0,0,1800.0061877667904,3600.0,1786.2702581648093,11.500491700523222,1800.0061877667904,551.0,550.0
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,large,frontier,single_cut,ALL_RHOS,6,6,0,6,0,0,0,1800.006314316687,3600.0,1785.7758069648019,12.074704867981685,1800.006314316687,556.3333333333334,555.3333333333334
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,medium_large,ALL_TASK_TYPES,ALL_CANDIDATES,ALL_RHOS,27,27,23,1,3,0,0,300.76665306293955,749.5814231036886,186.12957190044432,111.0023146032235,311.27522018932115,871.0,1391.0740740740741
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,medium_large,baseline,ALL_CANDIDATES,ALL_RHOS,3,3,3,0,0,0,0,30.23500350001268,30.23500350001268,0.0,3.5696212328815213,30.23500350001268,225.33333333333334,225.33333333333334
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,medium_large,baseline,joint_v1_core_point_strengthened,NOT_APPLICABLE,3,3,3,0,0,0,0,30.23500350001268,30.23500350001268,0.0,3.5696212328815213,30.23500350001268,225.33333333333334,225.33333333333334
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,medium_large,frontier,ALL_CANDIDATES,ALL_RHOS,24,24,20,1,3,0,0,334.58310925830546,839.4997255541481,209.39576838799985,124.43140127451625,346.4052472754847,951.7083333333334,1536.7916666666667
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,medium_large,frontier,persistent_certified_cache,0.0,3,3,1,1,1,0,0,648.0407660332663,2423.1250861332906,40.70672037273956,605.8934565298259,652.3388463660764,3173.3333333333335,3172.3333333333335
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,medium_large,frontier,persistent_certified_cache,0.01,3,3,1,0,2,0,0,160.97592733326988,2425.224537599987,26.797472631093115,133.28785219936012,165.8216853343571,1928.0,1926.6666666666667
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,medium_large,frontier,persistent_certified_cache,ALL_RHOS,6,6,2,1,3,0,0,404.50834668326814,2424.1748118666387,33.752096501916334,369.59065436459304,409.0802658502168,2550.6666666666665,2549.5
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,medium_large,frontier,persistent_certified_cache_batch5,0.0,3,3,3,0,0,0,0,143.78336933332807,143.78336933332807,42.37622013455257,100.68685036734678,157.380910567396,568.3333333333334,2666.6666666666665
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,medium_large,frontier,persistent_certified_cache_batch5,0.01,3,3,3,0,0,0,0,173.818764833423,173.818764833423,46.78443300281651,126.27591543349747,188.14073936726587,678.0,3270.6666666666665
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,medium_large,frontier,persistent_certified_cache_batch5,ALL_RHOS,6,6,6,0,0,0,0,158.80106708337553,158.80106708337553,44.58032656868454,113.48138290042213,172.76082496733093,623.1666666666666,2968.6666666666665
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,medium_large,frontier,persistent_separation,0.0,3,3,3,0,0,0,0,377.2168526999497,377.2168526999497,369.42239396631095,7.633736934512854,391.18788656708784,315.3333333333333,313.3333333333333
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,medium_large,frontier,persistent_separation,0.01,3,3,3,0,0,0,0,389.5566201333422,389.5566201333422,382.95042103164207,6.451052966450031,405.5041239003185,312.6666666666667,310.6666666666667
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,medium_large,frontier,persistent_separation,ALL_RHOS,6,6,6,0,0,0,0,383.386736416646,383.386736416646,376.1864074989765,7.042394950481442,398.3460052337032,314.0,312.0
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,medium_large,frontier,single_cut,0.0,3,3,3,0,0,0,0,373.70911043323576,373.70911043323576,365.1636912325242,7.628386431839317,386.5848580679546,317.0,315.0
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,medium_large,frontier,single_cut,0.01,3,3,3,0,0,0,0,409.5634632666285,409.5634632666285,400.96479473231983,7.593959333297486,424.28292803342146,321.0,319.0
3919E271C40BDC86F5EE7FFA582A06DDD325D5BB4EAD453550ED17A6C62DB751,7A3C7BF75B0D6D3228B6AA9AC0E8B8E6799A4B4925949C89DBBCBF311C2D2376,medium_large,frontier,single_cut,ALL_RHOS,6,6,6,0,0,0,0,391.6362868499321,391.6362868499321,383.064242982422,7.611172882568401,405.433893050688,319.0,317.0
