iteration,gamma,mip_gap,requested_master_mip_gap,precision_policy,valid_global_gap_for_precision,precision_gap_fallback_used,adaptive_master_precision_enabled,adaptive_subproblem_precision_enabled,master_gap_candidate,master_gap_previous,master_gap_selected,subproblem_gap_candidate,subproblem_gap_previous,subproblem_gap_selected,master_error_budget_ratio,subproblem_error_budget_ratio,monotone_precision_tightening,cut_strengthening_policy,core_point_available,core_point_observations,core_point_distance,core_point_attempted,core_point_skipped_reason,core_point_stage1_status,core_point_stage1_runtime,core_point_stage1_objective,core_point_stage2_status,core_point_stage2_runtime,core_point_current_value_floor,core_point_dual_feasible,core_point_original_value_at_current,core_point_strengthened_value_at_current,core_point_original_value_at_core,core_point_strengthened_value_at_core,core_point_normalized_improvement,core_point_cut_accepted,core_point_cut_fallback_reason,core_point_auxiliary_bound_used_for_UB,v3_secondary_attempted,v3_secondary_trigger_reason,v3_secondary_skipped_reason,v3_secondary_recent_lb_improvement,v3_secondary_cooldown_remaining,v3_secondary_time_limit,v3_secondary_runtime,v3_secondary_status,v3_secondary_has_incumbent,v3_secondary_pattern_distance,v3_secondary_pattern_memory_size,v3_secondary_cut_violation,v3_secondary_cut_added,v3_secondary_cut_skip_reason,v3_secondary_objective,v3_secondary_objective_bound,v3_secondary_bound_used_for_UB,realized_master_gap,achieved_master_mip_gap,master_status,master_best_bound,master_time,lower_bound,LB,upper_bound,UB,gap,global_gap,lb_improvement,ub_improvement,elapsed_time,log_gap,gap_improvement,master_objective,theta,theta_current,first_stage_cost,active_worst_cost,target_worst_cost,active_subproblem_value,target_subproblem_value,active_subproblem_status,target_subproblem_status,active_subproblem_mip_gap,target_subproblem_mip_gap,target_subproblem_objective,target_subproblem_objective_bound,target_robust_evaluation_used,subproblem_requested_mip_gap,subproblem_achieved_mip_gap,subproblem_status,subproblem_incumbent_objective,subproblem_objective_bound,subproblem_time,additional_subproblem_time,subproblem_has_incumbent,ub_uses_subproblem_bound,valid_UB,active_gamma,gamma_target,active_scenario,target_scenario,active_scenario_mode,target_scenario_mode,cut_selection_enabled,delta_cut,cut_rhs_current,cut_violation,absolute_cut_violation,normalized_cut_violation,secondary_cut_decisions,secondary_active_threshold,secondary_cuts_added_total,secondary_cuts_skipped_total,master_time_share,secondary_solve_attempted,secondary_solve_trigger_reason,secondary_solve_skipped_reason,recent_relative_lb_improvement,secondary_solve_cooldown_remaining,secondary_solve_runtime,secondary_generation_subproblem_time_share,secondary_generated_cut_added,secondary_generated_cut_duplicate,secondary_solves_avoided_total,final_certification_active,final_certification_triggered_this_iteration,final_certification_trigger_iteration,final_certification_reason,final_certification_count,consecutive_no_useful_primary_cuts,certification_forced_master_mip_gap,certification_forced_subproblem_mip_gap,secondary_solve_disabled_by_certification,cut_added,cut_skip_reason,cut_add_reason,cuts_added_total,cuts_skipped_total,cuts_generated_this_iteration,cuts_added_this_iteration,cuts_skipped_this_iteration,forced_cut_added,forced_cut_reason,cuts,adversarial_pattern
1,2,0.02,0.02,joint_error_budget,1.0,True,True,True,0.02,0.02,0.02,0.05,0.05,0.05,0.25,0.5,True,core_point,False,0,,False,core_point_unavailable,,0.0,,,0.0,,False,,,,,,False,,False,False,,component_disabled,,0,,0.0,,False,,0,,False,,,,False,0.0,0.0,2,0.0,0.00036880001425743103,0.0,0.0,1127941.8335714287,1127941.8335714287,1.0,1.0,,,0.040016100043430924,0.0,0.0,0.0,0.0,0.0,0.0,1127941.8335714287,1127941.8335714287,1127941.8335714287,1127941.8335714287,optimal,optimal,0.0,0.0,1127941.8335714287,1127941.8335714287,True,0.05,0.0,optimal,1127941.8335714287,1127941.8335714287,0.02940300013870001,0.0,True,True,True,2,2,robust_dual_milp,robust_dual_milp,not_applicable,not_applicable,False,0.0,1127941.8335714287,1127941.8335714287,1127941.8335714287,1.0,[],0.0001,0,0,0.009324033253982497,False,,scenario_enumeration,,0,0.0,0.7476390773955953,False,False,0,False,False,,waiting_for_no_useful_primary_cut_patience,0,0,,,False,True,,,1,0,1,1,0,False,,1,"[[0, 6], [2, 7]]"
2,2,0.02,0.02,joint_error_budget,1.0,False,True,True,0.02,0.02,0.02,0.05,0.05,0.05,0.25,0.5,True,core_point,True,1,1677.2253276764243,True,,optimal,0.0103731001727283,961454.5925661791,optimal,0.015640500001609325,961454.5829515331,True,961454.5925661792,961454.5829515334,961471.6021682164,961471.6104284637,8.59125449778384e-09,False,improvement_below_threshold,False,False,,component_disabled,,0,,0.0,,False,,0,,False,,,,False,0.012960364967797318,0.012960364967797318,2,31207.757764582693,0.00469970004633069,31207.757764582693,31207.757764582693,993072.1250916738,993072.1250916738,0.9685745305138821,0.9685745305138821,31207.757764582693,134869.70847975486,0.09676820016466081,0.0,0.0,31617.5325254943,0.0,0.0,31617.532525494298,961454.5925661793,961454.5925661793,961454.5925661793,961454.5925661793,optimal,optimal,1.2108249596709025e-16,1.2108249596709025e-16,961454.5925661793,961454.5925661795,True,0.05,1.2108249596709025e-16,optimal,961454.5925661793,961454.5925661795,0.02176639996469021,0.0,True,True,True,2,2,robust_dual_milp,robust_dual_milp,not_applicable,not_applicable,False,0.0,961454.5925661792,961454.5925661792,961454.5925661792,1.0,[],0.0001,0,0,0.05253502129100165,False,,scenario_enumeration,,0,0.0,0.7567725050995332,False,False,0,False,False,,waiting_for_no_useful_primary_cut_patience,0,0,,,False,True,,,2,0,1,1,0,False,,2,"[[0, 6], [2, 7]]"
3,2,0.02,0.02,joint_error_budget,0.9685745305138821,False,True,True,0.02,0.02,0.02,0.05,0.05,0.05,0.25,0.5,True,core_point,True,2,1807.547320494883,True,,optimal,0.008306400151923299,961858.0400012946,optimal,0.008299099979922175,961858.0303826142,True,961858.0400012947,961858.0303826145,539610.4820939808,960824.274163138,0.4383879585432284,True,,False,False,,component_disabled,,0,,0.0,,False,,0,,False,,,,False,0.006649527764376793,0.006649527764376793,2,33156.997135846424,0.005456800106912851,33156.997135846424,33156.997135846424,993072.1250916738,993072.1250916738,0.9666116928488093,0.9666116928488093,1949.2393712637313,0.0,0.14105410012416542,-0.031929844512683915,0.03192984451268396,33378.951399926016,0.0,0.0,33378.951399926016,961858.0400012947,961858.0400012947,961858.0400012947,961858.0400012947,optimal,optimal,1.2103170840759217e-16,1.2103170840759217e-16,961858.0400012947,961858.0400012948,True,0.05,1.2103170840759217e-16,optimal,961858.0400012947,961858.0400012948,0.018460699822753668,0.0,True,True,True,2,2,robust_dual_milp,robust_dual_milp,not_applicable,not_applicable,False,0.0,961858.0303826145,961858.0303826145,961858.0303826145,1.0,[],0.0001,0,0,0.07493834342265625,False,,scenario_enumeration,,0,0.0,0.5726272543956057,False,False,0,False,False,,waiting_for_no_useful_primary_cut_patience,0,0,,,False,True,,,3,0,1,1,0,False,,3,"[[0, 6], [2, 7]]"
4,2,0.02,0.02,joint_error_budget,0.9666116928488093,False,True,True,0.02,0.02,0.02,0.05,0.05,0.05,0.25,0.5,True,core_point,True,3,1431.0346831746738,True,,optimal,0.015298900194466114,628780.8860517947,optimal,0.008960300125181675,628780.8797638859,True,628779.809585525,628780.8797638858,-36839.349373925594,620240.7377197411,1.0593952430621731,True,,False,False,,component_disabled,,0,,0.0,,False,,0,,False,,,,False,0.0,0.0,2,56738.2372285672,0.010392000200226903,56738.2372285672,56738.2372285672,696483.4039638,696483.4039638,0.9185361246145124,0.9185361246145124,23581.24009272078,296588.72112787375,0.21521000005304813,-0.03395842275955976,0.0020285782468758037,56738.2372285672,0.0,0.0,56738.2372285672,628779.8095855251,628779.8095855251,628779.8095855251,628779.8095855251,optimal,optimal,0.017439105045271425,0.017439105045271425,628779.8095855251,639745.1667352328,True,0.05,0.017439105045271425,optimal,628779.8095855251,639745.1667352328,0.03517009993083775,0.0,True,True,True,2,2,robust_dual_milp,robust_dual_milp,not_applicable,not_applicable,False,0.0,628780.8797638858,628780.8797638858,628780.8797638858,1.0,[],0.0001,0,0,0.09730959316069514,False,,scenario_enumeration,,0,0.0,0.5552393180345383,False,False,0,False,False,,waiting_for_no_useful_primary_cut_patience,0,0,,,False,True,,,4,0,1,1,0,False,,4,"[[2, 7], [4, 6]]"
5,2,0.02,0.02,joint_error_budget,0.9185361246145124,False,True,True,0.02,0.02,0.02,0.05,0.05,0.05,0.25,0.5,True,core_point,True,4,970.9289214796626,True,,optimal,0.008660099934786558,625648.241372016,optimal,0.00901099992915988,625648.2351154336,True,625648.2413720163,625648.2351154337,121967.46491727867,624932.3984027503,0.8048309461487156,True,,False,False,,component_disabled,,0,,0.0,,False,,0,,False,,,,False,0.01838007144069265,0.01838007144069265,2,55746.643047908605,0.0036720000207424164,56738.2372285672,56738.2372285672,693461.9071039963,693461.9071039963,0.9181811767202688,0.9181811767202688,0.0,3021.496859803796,0.2720475001260638,-0.08497404509000485,0.051015622330445085,56790.45568046504,0.0,0.0,56790.45568046504,625648.2413720163,625648.2413720163,625648.2413720163,625648.2413720163,optimal,optimal,0.01761886204193836,0.01761886204193836,625648.2413720163,636671.4514235312,True,0.05,0.01761886204193836,optimal,625648.2413720163,636671.4514235312,0.032567399786785245,0.0,True,True,True,2,2,robust_dual_milp,robust_dual_milp,not_applicable,not_applicable,False,0.0,625648.2351154337,625648.2351154337,625648.2351154337,1.0,[],0.0001,0,0,0.0904729540279254,False,,scenario_enumeration,,0,0.0,0.544286828351581,False,False,0,False,False,,waiting_for_no_useful_primary_cut_patience,0,0,,,False,True,,,5,0,1,1,0,False,,5,"[[2, 7], [4, 6]]"
6,2,0.02,0.02,joint_error_budget,0.9181811767202688,False,True,True,0.02,0.02,0.02,0.05,0.05,0.05,0.25,0.5,True,core_point,True,5,934.4289268286807,True,,optimal,0.009581699967384338,616000.9843968018,optimal,0.011739599984139204,616000.9782366919,True,616000.984396802,616000.9782366919,-128181.78028129623,623194.4533920415,1.2056850467516262,True,,False,False,,component_disabled,1.0,0,,0.0,,False,,0,,False,,,,False,0.0009330168645600128,0.0009330168645600128,2,56894.91451917697,0.006908799987286329,56894.91451917697,56894.91451917697,683992.3361229376,683992.3361229376,0.9168193684132875,0.9168193684132875,156.67729060976853,9469.570981058641,0.32614230015315115,-0.08536054757289026,0.00038650248288543454,56948.048008372556,0.0,0.0,56948.048008372556,616000.9843968021,616000.9843968021,616000.9843968021,616000.9843968021,optimal,optimal,0.01792741245142117,0.01792741245142117,616000.9843968021,627044.2881145651,True,0.05,0.01792741245142117,optimal,616000.9843968021,627044.2881145651,0.022124300012364984,0.0,True,True,True,2,2,robust_dual_milp,robust_dual_milp,not_applicable,not_applicable,False,0.0,616000.9782366919,616000.9782366919,616000.9782366919,1.0,[],0.0001,0,0,0.09668619652639569,False,,scenario_enumeration,,0,0.0,0.5271636941089408,False,False,0,False,False,,waiting_for_no_useful_primary_cut_patience,0,0,,,False,True,,,6,0,1,1,0,False,,6,"[[2, 7], [4, 6]]"
7,2,0.02,0.02,joint_error_budget,0.9168193684132875,False,True,True,0.02,0.02,0.02,0.05,0.05,0.05,0.25,0.5,True,core_point,True,6,1180.4992569558833,True,,optimal,0.008546199882403016,577311.0871978867,optimal,0.009384799981489778,577311.0814246758,True,577311.0871978868,577311.0814246759,-181526.8538459564,571931.6006646827,1.3173925931614743,True,,False,False,,component_disabled,0.45148423144103994,0,,0.0,,False,,0,,False,,,,False,0.004913009211105219,0.004913009211105219,2,57792.41116121287,0.006634899880737066,57792.41116121287,57792.41116121287,646130.3806060803,646130.3806060803,0.9105561154592319,0.9105561154592319,897.4966420358978,37861.95551685733,0.3752793001476675,-0.08684480713957118,0.0014842595666808346,58077.74767047817,302.2770446771464,302.2770446771464,57775.47062580102,577311.0871978868,577311.0871978868,577311.0871978868,577311.0871978868,optimal,optimal,0.019129760413915228,0.019129760413915228,577311.0871978868,588354.9099802793,True,0.05,0.019129760413915228,optimal,577311.0871978868,588354.9099802793,0.02147149993106723,0.0,True,True,True,2,2,robust_dual_milp,robust_dual_milp,not_applicable,not_applicable,False,0.0,577311.0814246759,577008.8043799987,577008.8043799987,0.9994764052615598,[],0.0001,0,0,0.10168393329568047,False,,scenario_enumeration,1.0,0,0.0,0.5093544541054654,False,False,0,False,False,,waiting_for_no_useful_primary_cut_patience,0,0,,,False,True,,,7,0,1,1,0,False,,7,"[[2, 7], [4, 6]]"
8,2,0.02,0.02,joint_error_budget,0.9105561154592319,False,True,True,0.02,0.02,0.02,0.05,0.05,0.05,0.25,0.5,True,core_point,True,7,1446.1622391701894,True,,optimal,0.008519699797034264,295147.9591614867,optimal,0.011340499855577946,295147.95620990713,True,295135.53332042287,295147.9562099072,-43709.31809099531,216655.8005908922,1.2017454320252932,True,,False,False,,component_disabled,0.4262742033144379,0,,0.0,,False,,0,,False,,,,False,0.01633951494801407,0.01633951494801407,2,69910.54213347896,0.005111499922350049,69910.54213347896,69910.54213347896,367558.9877597187,367558.9877597187,0.8097977618243387,0.8097977618243387,12118.130972266088,278571.3928463616,0.42848260002210736,-0.09369975023724912,0.006854943097677978,71071.8212186639,0.0,0.0,71071.8212186639,295135.5333204229,295135.5333204229,295135.5333204229,295135.5333204229,optimal,optimal,0.004579703451581413,0.004579703451581413,295135.5333204229,296487.1665410548,True,0.05,0.004579703451581413,optimal,295135.5333204229,296487.1665410548,0.023882400011643767,0.0,True,True,True,2,2,robust_dual_milp,robust_dual_milp,not_applicable,not_applicable,False,0.0,295147.9562099072,295147.9562099072,295147.9562099072,1.0,[],0.0001,0,0,0.10104979002588528,False,,scenario_enumeration,0.4600024962182639,0,0.0,0.505524232302013,False,False,0,False,False,,waiting_for_no_useful_primary_cut_patience,0,0,,,False,True,,,8,0,1,1,0,False,,8,"[[2, 7], [4, 6]]"
9,2,0.02,0.02,joint_error_budget,0.8097977618243387,False,True,True,0.02,0.02,0.02,0.05,0.05,0.05,0.25,0.5,True,core_point,True,8,1446.4775975772332,True,,optimal,0.009235000004991889,161367.83165752754,optimal,0.010315399849787354,161367.8300437492,True,161367.83165752742,161367.83004374927,-626513.1471395678,91357.59856850002,1.1458191244439255,True,,False,False,,component_disabled,0.18841657499611583,0,,0.0,,False,,0,,False,,,,False,0.012894192888536665,0.012894192888536665,2,73121.87808994722,0.008327200077474117,73121.87808994722,73121.87808994722,243473.04357211565,243473.04357211565,0.6996715652084546,0.6996715652084546,3211.3359564682614,124085.94418760302,0.49008590006269515,-0.21097073925015966,0.11727098901291055,74077.0417549477,0.0,0.0,74077.0417549477,161367.8316575274,161367.8316575274,161367.8316575274,161367.8316575274,optimal,optimal,0.04975074695605283,0.04975074695605283,161367.8316575274,169396.00181716797,True,0.05,0.04975074695605283,optimal,161367.8316575274,169396.00181716797,0.029784500133246183,0.0,True,True,True,2,2,robust_dual_milp,robust_dual_milp,not_applicable,not_applicable,False,0.0,161367.83004374927,161367.83004374927,161367.83004374927,1.0,[],0.0001,0,0,0.10528906527858545,False,,scenario_enumeration,0.5257225001554078,0,0.0,0.5008332260452402,False,False,0,False,False,,waiting_for_no_useful_primary_cut_patience,0,0,,,False,True,,,9,0,1,1,0,False,,9,"[[0, 6], [4, 6]]"
10,2,0.02,0.02,joint_error_budget,0.6996715652084546,False,True,True,0.02,0.02,0.02,0.05,0.05,0.05,0.25,0.5,True,core_point,True,9,763.1480889100117,True,,optimal,0.00878589996136725,167104.7540273533,optimal,0.010159800061956048,167104.75235620578,True,167104.75402735337,167104.75235620578,-188490.11740008515,121559.43520507682,1.6449114514956629,True,,False,False,,component_disabled,0.22405935527567414,0,,0.0,,False,,0,,False,,,,False,0.018420786677637663,0.018420786677637663,2,72723.22441418172,0.004723500227555633,73121.87808994722,73121.87808994722,243473.04357211565,243473.04357211565,0.6996715652084546,0.6996715652084546,0.0,0.0,0.5505057000555098,-0.3571442466033535,0.1461735073531938,74087.98335086436,0.0,0.0,74087.98335086436,167104.75402735334,167104.75402735334,167104.75402735334,167104.75402735334,optimal,optimal,0.014289155302292187,0.014289155302292187,167104.75402735334,169492.53980940153,True,0.05,0.014289155302292187,optimal,167104.75402735334,169492.53980940153,0.03356879996135831,0.0,True,True,True,2,2,robust_dual_milp,robust_dual_milp,not_applicable,not_applicable,False,0.0,167104.75235620578,167104.75235620578,167104.75235620578,1.0,[],0.0001,0,0,0.10231002374737048,False,,scenario_enumeration,0.22405935527567414,0,0.0,0.5064885320707612,False,False,0,False,False,,waiting_for_no_useful_primary_cut_patience,0,0,,,False,True,,,10,0,1,1,0,False,,10,"[[4, 5], [11, 5]]"
