iteration,elapsed_time,lower_bound,upper_bound,gap,master_time,subproblem_time,core_point_stage1_runtime,core_point_stage2_runtime,cuts_added_total,adversarial_pattern
1,0.048039300134405494,0.0,1127941.8335714287,1.0,0.0005901998374611139,0.03565179998986423,0.0,0.0,1,"[[0, 6], [2, 7]]"
2,0.10276710009202361,31207.757764582693,993072.1250916738,0.9685745305138821,0.003934900043532252,0.02202260005287826,0.01458510011434555,0.010355600155889988,2,"[[0, 6], [2, 7]]"
3,0.16664519999176264,33156.997135846424,993072.1250916738,0.9666116928488093,0.006065200082957745,0.03163250000216067,0.008260299917310476,0.013502300018444657,3,"[[0, 6], [2, 7]]"
4,0.21898500015959144,56738.2372285672,696483.4039638,0.9185361246145124,0.007439600070938468,0.024564400082454085,0.00850699981674552,0.008867900120094419,4,"[[2, 7], [4, 6]]"
5,0.28513650014065206,56738.2372285672,693461.9071039963,0.9181811767202688,0.007920500123873353,0.032724699936807156,0.01237579993903637,0.00976809998974204,5,"[[2, 7], [4, 6]]"
6,0.3438053000718355,56894.91451917697,683992.3361229376,0.9168193684132875,0.010043400106951594,0.02714330004528165,0.009181300178170204,0.00925430003553629,6,"[[2, 7], [4, 6]]"
7,0.40264400001615286,57792.41116121287,646130.3806060803,0.9105561154592319,0.010316599858924747,0.026818200014531612,0.008633999852463603,0.009577400051057339,7,"[[2, 7], [4, 6]]"
8,0.4503077999688685,69910.54213347896,367558.9877597187,0.8097977618243387,0.004068800015375018,0.022324400022625923,0.008715499890968204,0.009843300096690655,8,"[[2, 7], [4, 6]]"
9,0.5108783000614494,73121.87808994722,243473.04357211565,0.6996715652084546,0.008308500051498413,0.02940059988759458,0.008932400029152632,0.010731500107795,9,"[[0, 6], [4, 6]]"
10,0.5685563001316041,73121.87808994722,243473.04357211565,0.6996715652084546,0.004548799945041537,0.030783299822360277,0.00919790007174015,0.010011799866333604,10,"[[4, 5], [11, 5]]"
11,0.6305527000222355,73121.87808994722,241753.17620378197,0.6975349849041474,0.004833399783819914,0.03494889987632632,0.009023899910971522,0.009971699910238385,11,"[[0, 6], [10, 6]]"
12,0.6930553000420332,73121.87808994722,237031.74431377935,0.6915101886389129,0.004935199860483408,0.030471400124952197,0.014416899997740984,0.009404500015079975,12,"[[7, 5], [11, 5]]"
13,0.7583467999938875,73981.12495878765,224281.13684570353,0.6701411184227959,0.012901699868962169,0.029979299986734986,0.008905900176614523,0.010105499997735023,13,"[[10, 6], [11, 5]]"
14,0.8167336999904364,75646.90853732965,224281.13684570353,0.6627139062997898,0.005765300011262298,0.031167799839749932,0.008671999908983707,0.00983319990336895,14,"[[0, 6], [4, 6]]"
15,0.8728843999560922,77032.93532507893,224281.13684570353,0.6565340429049344,0.010025800205767155,0.022192899836227298,0.00870610005222261,0.012029600096866488,15,"[[0, 6], [4, 6]]"
16,0.9256573000457138,77032.93532507893,224281.13684570353,0.6565340429049344,0.006144999992102385,0.02284149988554418,0.008976900018751621,0.011410299921408296,16,"[[0, 6], [4, 6]]"
17,0.9920759000815451,77561.46861958489,224281.13684570353,0.654177476936261,0.013502300018444657,0.02845999994315207,0.00940659991465509,0.011490999953821301,17,"[[2, 7], [11, 7]]"
18,1.0618712999857962,78042.22874404315,171044.52488615003,0.5437315003447827,0.009912500157952309,0.03378679999150336,0.009521299973130226,0.01266800006851554,18,"[[0, 6], [2, 6]]"
19,1.1345069999806583,78042.22874404315,171044.52488615003,0.5437315003447827,0.007555399788543582,0.04145259992219508,0.008754600072279572,0.011161699891090393,19,"[[2, 7], [11, 7]]"
20,1.1897173000033945,79772.02596246274,171044.52488615003,0.5336183603914813,0.007600799901410937,0.025216800160706043,0.008356200065463781,0.011490700067952275,20,"[[4, 6], [10, 6]]"
21,1.283771200105548,80906.4655061238,164764.31559394093,0.5089563828522402,0.007131900172680616,0.06223489996045828,0.008588199969381094,0.011663699988275766,21,"[[0, 6], [11, 6]]"
22,1.3470032000914216,81726.17881194336,164764.31559394093,0.5039813170871522,0.008523999946191907,0.031080499989911914,0.008976900018751621,0.01123950001783669,22,"[[7, 1], [7, 5]]"
23,1.4092950001358986,84475.46132662533,164764.31559394093,0.4872951644771567,0.013761400012299418,0.022278399905189872,0.008493700064718723,0.0147409001365304,23,"[[6, 5], [11, 5]]"
24,1.4721137001179159,84586.2160937895,164764.31559394093,0.4866229632983704,0.008370099822059274,0.028698200127109885,0.008528999984264374,0.014427999965846539,24,"[[11, 0]]"
25,1.5418245000764728,87887.52913349854,141380.44594385044,0.37836149442898726,0.017273599980399013,0.029144000029191375,0.0083576999604702,0.011681800009682775,25,"[[0, 6], [11, 6]]"
26,1.6037963000126183,95178.09654272694,141380.44594385044,0.32679448061348504,0.010106499772518873,0.028164900140836835,0.008629699936136603,0.012224699836224318,26,"[[4, 5], [11, 5]]"
27,1.680958200013265,97318.28025401669,141380.44594385044,0.31165671741715356,0.020899000111967325,0.032820799853652716,0.008284700103104115,0.012064900016412139,27,"[[2, 7], [11, 7]]"
28,1.7445978000760078,97318.28025401669,141380.44594385044,0.31165671741715356,0.007854700088500977,0.02983070001937449,0.008960900129750371,0.01362919993698597,28,"[[0, 6], [2, 7]]"
29,1.8204431999474764,97519.70808863337,141380.44594385044,0.3102319953965661,0.01193440007045865,0.03732419991865754,0.009346799924969673,0.014026100048795342,29,"[[0, 6], [2, 7]]"
30,1.8807042001280934,98370.71124193432,141380.44594385044,0.3042127531483211,0.013188699958845973,0.022208500187844038,0.008857300039380789,0.012481799814850092,30,"[[2, 7], [11, 7]]"
31,1.959299199981615,100595.70420762469,139609.45574863127,0.27944920587077837,0.018588999984785914,0.03447429998777807,0.008904000045731664,0.013336099917069077,31,"[[0, 6], [10, 6]]"
32,2.0197875001467764,101828.07962896336,138256.49025982182,0.26348427160561866,0.006810900056734681,0.029503599973395467,0.009088599821552634,0.012288500089198351,32,"[[2, 7], [11, 7]]"
33,2.0991799000184983,102591.35096791048,138256.49025982182,0.25796358076851783,0.006356799975037575,0.04959640000015497,0.008396700024604797,0.012130900053307414,33,"[[0, 6], [7, 1]]"
34,2.1971340000163764,104422.01804873253,137514.26722722902,0.2406459332966139,0.006352199940010905,0.05964579991996288,0.008668099995702505,0.01956889987923205,34,"[[0, 6], [11, 0]]"
35,2.3006436999421567,106421.42679533582,136027.71682768728,0.21764895216064786,0.007409299956634641,0.06875379988923669,0.008673999924212694,0.0137253999710083,35,"[[2, 7], [11, 0]]"
36,2.363568900153041,106421.42679533582,136027.71682768728,0.21764895216064786,0.007223200052976608,0.03075679996982217,0.008668200112879276,0.013014900032430887,36,"[[6, 5], [11, 5]]"
37,2.4255329000297934,106954.3754143041,136027.71682768728,0.2137310107925413,0.009070299798622727,0.027981300139799714,0.008396800141781569,0.013303499901667237,37,"[[2, 7], [11, 7]]"
38,2.4884626001585275,107336.0343785578,135241.50426660836,0.2063380619683075,0.006801099982112646,0.03255260013975203,0.008531900122761726,0.012032300001010299,38,"[[7, 1], [11, 6]]"
39,2.5894681001082063,107700.73423253704,135131.3398703899,0.20299218274726422,0.006824200041592121,0.06730630015954375,0.009438900044187903,0.014032799983397126,39,"[[0, 6], [7, 1]]"
40,2.6893639999907464,108056.29371454174,130408.69870612441,0.1714027147986021,0.006782699842005968,0.06858889991417527,0.008642700035125017,0.012614700011909008,40,"[[0, 6], [10, 6]]"
41,2.750139100011438,108283.58048169783,130408.69870612441,0.16965983438179583,0.007153999991714954,0.030631099827587605,0.0083188998978585,0.011888700071722269,41,"[[7, 1], [11, 7]]"
42,2.8891652999445796,108283.58048169783,128760.85877934376,0.1590334088462212,0.00700360001064837,0.10785070015117526,0.008366600144654512,0.012532599968835711,42,"[[11, 0], [11, 5]]"
43,2.992349199950695,108480.21751471506,128760.85877934376,0.1575062597196827,0.006875399965792894,0.0722934000659734,0.008748400025069714,0.012320399982854724,43,"[[2, 7], [11, 7]]"
