case,variant,status,certified,objective,certified_objective,true_objective,lower_bound,upper_bound,gap,iterations,cuts,master_runtime,subproblem_runtime,auxiliary_runtime,total_runtime,accepted_pareto_cuts,lb_gain_per_cut,strengthening_gain_distribution,tail_500_equivalent_progress,valid_bounds
small_seed_0,core_point,optimal,True,8677.68633734258,8677.526082030938,8677.526082030938,8677.493413861812,8677.68633734258,2.2232133459158136e-05,23,23,0.08952270052395761,0.1272640998940915,0.029168300097808242,0.26642130012623966,0,377.2823223418179,"{'count': 19, 'mean': 750.0487611457219, 'min': -3.637978807091713e-12, 'p25': 0.0004522474409895949, 'median': 19.65511352316753, 'p75': 317.7172056782547, 'p90': 1035.8764495587493, 'p95': 3348.591701204532, 'max': 8483.005780693107}","{'window': 23, 'lb_progress': 8677.493413861812, 'accepted_cuts': 23, 'lb_gain_per_cut': 377.2823223418179}",True
small_seed_0,pareto_optimal_mw,optimal,True,8677.526162568192,8677.526082030938,8677.526082030938,8676.722713079738,8677.526162568192,9.258969358340102e-05,25,23,0.04444729909300804,0.15901629999279976,0.03721739933826029,0.2639808999374509,19,377.2488136121625,"{'count': 21, 'mean': 1000.1913680244404, 'min': 0.00010681515050237067, 'p25': 0.19908844763267552, 'median': 66.2895672645609, 'p75': 1039.5596990882768, 'p90': 3568.540632082193, 'p95': 4064.718812016239, 'max': 7697.1175997020455}","{'window': 25, 'lb_progress': 8676.722713079738, 'accepted_cuts': 23, 'lb_gain_per_cut': 377.2488136121625}",True
small_seed_1,core_point,optimal,True,8609.57276250226,8609.572714095615,8609.572714095615,8609.572686340744,8609.57276250226,8.84614343927432e-09,11,11,0.026575200259685516,0.04718800028786063,0.014484100043773651,0.09639010019600391,0,782.6884260309766,"{'count': 10, 'mean': 820.3924757969422, 'min': 0.0005255433788988739, 'p25': 56.97141689781711, 'median': 375.7090231282473, 'p75': 1235.2454116634362, 'p90': 2487.4746604148877, 'p95': 2525.671091314078, 'max': 2525.671091314078}","{'window': 11, 'lb_progress': 8609.572686340744, 'accepted_cuts': 11, 'lb_gain_per_cut': 782.6884260309766}",True
small_seed_1,pareto_optimal_mw,optimal,True,8609.572714095713,8609.572714095615,8609.572714095615,8609.572714095495,8609.572714095713,2.5353026877644438e-14,9,7,0.019815700594335794,0.04509109980426729,0.009941899916157126,0.08082889998331666,7,1229.9389591564993,"{'count': 7, 'mean': 644.8544003640854, 'min': 239.41240487403775, 'p25': 426.0821502376348, 'median': 756.2715388508477, 'p75': 801.7164040878615, 'p90': 879.9336374850936, 'p95': 1151.861766038035, 'max': 1151.861766038035}","{'window': 9, 'lb_progress': 8609.572714095495, 'accepted_cuts': 7, 'lb_gain_per_cut': 1229.9389591564993}",True
small_seed_2,core_point,optimal,True,4942.825025932105,4942.82499495753,4942.82499495753,4942.824987999069,4942.825025932105,7.674363477670838e-09,18,18,0.024102800525724888,0.177448800066486,0.022818898782134056,0.23799609998241067,0,274.6013882221705,"{'count': 16, 'mean': 1590.648055602245, 'min': 0.08937871902162442, 'p25': 732.2894146933941, 'median': 1263.6613809813607, 'p75': 1976.5214040649262, 'p90': 3182.78103607465, 'p95': 3182.78103607465, 'max': 5221.144095357386}","{'window': 18, 'lb_progress': 4942.824987999069, 'accepted_cuts': 18, 'lb_gain_per_cut': 274.6013882221705}",True
small_seed_2,pareto_optimal_mw,optimal,True,4942.824994957557,4942.82499495753,4942.82499495753,4942.8249949575575,4942.824994957557,0.0,14,13,0.014717299956828356,0.11277399980463088,0.017734900815412402,0.15454040002077818,13,380.2173073044275,"{'count': 13, 'mean': 2018.4588025593316, 'min': 286.4240419122889, 'p25': 934.6343390906695, 'median': 1221.628558832419, 'p75': 2670.949824929756, 'p90': 5218.205665683164, 'p95': 5218.205665683164, 'max': 5224.633556977036}","{'window': 14, 'lb_progress': 4942.8249949575575, 'accepted_cuts': 13, 'lb_gain_per_cut': 380.2173073044275}",True
small_seed_3,core_point,optimal,True,5043.692571151103,5043.658106390344,5043.658106390344,5043.288642193389,5043.692571151103,8.008595924827116e-05,13,13,0.027026499854400754,0.14076500036753714,0.016585900215432048,0.19531730003654957,0,387.9452801687222,"{'count': 11, 'mean': 1155.5129400161438, 'min': 0.0007367014968622243, 'p25': 154.5556876667688, 'median': 309.1107861858727, 'p75': 1626.769044552897, 'p90': 1753.8146846415166, 'p95': 6676.7662744638155, 'max': 6676.7662744638155}","{'window': 13, 'lb_progress': 5043.288642193389, 'accepted_cuts': 13, 'lb_gain_per_cut': 387.9452801687222}",True
small_seed_3,pareto_optimal_mw,optimal,True,5043.709279169465,5043.658106390344,5043.658106390344,5043.420446923631,5043.709279169465,5.726583945406044e-05,11,11,0.013188000535592437,0.12326009990647435,0.013004600536078215,0.15723789995536208,10,458.4927679021483,"{'count': 10, 'mean': 465.7881026747077, 'min': 2.845859830687914, 'p25': 30.436677894657805, 'median': 107.71102919546138, 'p75': 502.49201642475236, 'p90': 1696.9263381909823, 'p95': 1868.7377043057768, 'max': 1868.7377043057768}","{'window': 11, 'lb_progress': 5043.420446923631, 'accepted_cuts': 11, 'lb_gain_per_cut': 458.4927679021483}",True
renault_210202_300s,pr82_core_point,historical_time_cap,False,,,,116799.22154734991,116854.79883500279,0.00047560980128298635,843,843,189.8297123007942,90.18833600054495,16.529342701425776,299.8274488998577,0,,,,True
renault_210202_300s,pr83_low_risk,historical_time_cap,False,,,,116799.21974106538,116854.79883500279,0.0004756252587956587,840,840,193.65606539999135,86.51060429820791,16.378334797453135,300.15052239992656,0,,,,True
renault_210202_300s,pareto_optimal_mw,time_limit,False,116861.05322415945,,,116792.68793882779,116861.05322415945,0.0005850134278742427,860,860,191.9214111000765,87.18731640116312,17.613080103881657,300.1422826999333,833,0.6675040643913671,"{'count': 834, 'mean': 194615.54051227818, 'min': 49.394758546957746, 'p25': 51122.05890169757, 'median': 137736.74433457086, 'p75': 288143.7895818987, 'p90': 455716.808441608, 'p95': 576685.1554375561, 'max': 1036822.2237854835}","{'window': 500, 'lb_progress': 333.75203219568357, 'accepted_cuts': 500, 'lb_gain_per_cut': 0.6675040643913671}",True
