section,window_or_fraction,metric,value,unit_or_status
classification,all,bottleneck,MASTER_DOMINATED,status
checkpoint,0.25,iteration,539,iteration
checkpoint,0.25,LB,116743.51334684002,objective
checkpoint,0.25,UB,116958.3692105265,objective
checkpoint,0.25,gap,0.0018370285524394,ratio
checkpoint,0.50,iteration,1077,iteration
checkpoint,0.50,LB,116799.65267332252,objective
checkpoint,0.50,UB,116849.60129229544,objective
checkpoint,0.50,gap,0.0004274607565665,ratio
checkpoint,0.75,iteration,1616,iteration
checkpoint,0.75,LB,116800.42031564536,objective
checkpoint,0.75,UB,116840.66551645267,objective
checkpoint,0.75,gap,0.0003444451521173,ratio
checkpoint,0.90,iteration,1939,iteration
checkpoint,0.90,LB,116801.0041460454,objective
checkpoint,0.90,UB,116840.66551645267,objective
checkpoint,0.90,gap,0.0003394483438788,ratio
checkpoint,0.95,iteration,2047,iteration
checkpoint,0.95,LB,116801.2920914937,objective
checkpoint,0.95,UB,116840.66551645267,objective
checkpoint,0.95,gap,0.0003369839155309,ratio
checkpoint,1.00,iteration,2154,iteration
checkpoint,1.00,LB,116802.42332725936,objective
checkpoint,1.00,UB,116840.66551645267,objective
checkpoint,1.00,gap,0.0003273020486854,ratio
lb_improvement,500,total,1.9245504357968457,objective
lb_improvement,250,total,1.4465239509590901,objective
lb_improvement,100,total,1.1304177893616725,objective
lb_improvement,50,total,0.367115895554889,objective
last_500,gap,baseline,0.0003437736292544,ratio
last_500,gap,final,0.0003273020486854,ratio
last_500,gap,absolute_change,-0.00001647158056899999,ratio
last_500,gap,relative_reduction,0.04791403169790741,ratio
last_500,runtime,mean_per_iteration,1.5186392262000585,seconds
ub,all,last_change_iteration,1222,iteration
ub,all,last_change_elapsed,577.5610203000251,seconds
ub,500,changed,false,boolean
runtime,all,master_seconds,1521.661534596933,seconds
runtime,all,master_share,0.8452806916592206,ratio
runtime,all,robust_subproblem_seconds,254.81346760271106,seconds
runtime,all,robust_subproblem_share,0.14154849764034913,ratio
runtime,all,core_point_secondary_seconds,16.529342701425698,seconds
runtime,all,core_point_secondary_share,0.009182024986282102,ratio
runtime,all,other_secondary_seconds,0.0,seconds
runtime,all,certification_seconds,0.0,seconds
runtime,all,unattributed_seconds,7.18055179878138,seconds
cut_violation,500,min,47.47866684742621,absolute
cut_violation,500,p25,56.24432378301208,absolute
cut_violation,500,median,59.556645335769645,absolute
cut_violation,500,mean,60.87869097060801,absolute
cut_violation,500,p75,65.9839229999061,absolute
cut_violation,500,p95,73.64436676066234,absolute
cut_violation,500,max,78.53173794708346,absolute
normalized_cut_violation,500,min,0.0014729328659558,ratio
normalized_cut_violation,500,p25,0.001744396154687925,ratio
normalized_cut_violation,500,median,0.001846903854077,ratio
normalized_cut_violation,500,mean,0.0018878111325806675,ratio
normalized_cut_violation,500,p75,0.002045838264372025,ratio
normalized_cut_violation,500,p95,0.002282820631126945,ratio
normalized_cut_violation,500,max,0.0024338868910837,ratio
worst_case_pattern,all,repetition,INCONCLUSIVE_NOT_RECORDED,status
lb_improvement,all,last_substantive_iteration,2153,iteration
extrapolation,250,additional_seconds_to_gap_1e-4,7567.126342574171,seconds_diagnostic_only
extrapolation,500,additional_seconds_to_gap_1e-4,10478.34498584368,seconds_diagnostic_only
recommendation,3600,recommend_only_time_limit_increase,false,boolean
stability,all,evidence_of_core_or_numerical_defect,false,boolean
