iteration,previous_iteration,elapsed_time,LB,UB,gap,master_runtime,cumulative_cuts,y_hamming,y_hamming_normalized,y_added,y_removed,y_exact_same,unique_y_patterns_to_date,y_pattern,x_l1,x_l2,x_normalized_l1,x_normalized_l2,x_rounded_hash,lb_improvement,gap_reduction,y_cycle_p2,x_cycle_p2,x_return_relative_l1_p2,y_cycle_p3,x_cycle_p3,x_return_relative_l1_p3,y_cycle_p4,x_cycle_p4,x_return_relative_l1_p4,y_cycle_p5,x_cycle_p5,x_return_relative_l1_p5
2,1,0.07227339991368353,31207.757764582693,993072.1250916738,0.9685745305138821,0.0047519998624920845,2,9,0.6,9,0,False,2,110010011101011,3957.690644110276,1677.2253276764243,2.0,1677.2253276764243,0debe3fa31a3135dfe17423fca9cbebf2b2be9626b6a5db9a648ef7744ca916a,31207.757764582693,0.03142546948611791,False,False,,False,False,,False,False,,False,False,
3,2,0.11740330001339316,33156.997135846424,993072.1250916738,0.9666116928488093,0.006626200163736939,3,11,0.7333333333333333,5,6,False,3,011101101010001,6747.049772394241,2233.8131227428826,1.7047946338188433,1.3318503398929336,4692d1855c41c034c8fba9f239fa489ad10ce75ad0425091245427d63bd24a04,1949.2393712637313,0.0019628376650727697,False,False,1.0,False,False,,False,False,,False,False,
4,3,0.16560329985804856,56738.2372285672,696483.4039638,0.9185361246145124,0.005055599845945835,4,7,0.4666666666666667,5,2,False,4,011011111001111,7413.734146418538,2057.4684258038264,1.9982545661913935,1.1976860323049652,e22147710b3ce78007358b102e76d6e8c6de3b1a01c8badeecdaa0a87db2531e,23581.24009272078,0.04807556823429693,False,False,1.8056210800882577,False,False,1.0,False,False,,False,False,
5,4,0.2104396999347955,56738.2372285672,693461.9071039963,0.9181811767202688,0.003504800144582987,5,0,0.0,0,0,True,4,011011111001111,3483.2738622203074,1108.3118596677264,1.0054740032918639,0.976728921259762,616b3b71cd90bb3e857db71b6391cdab9723f45a581fe7da0f8c579a7c51306a,0.0,0.00035494789424361795,False,False,1.8056027637656258,False,False,2.141827785431499,False,False,1.0,False,False,
6,5,0.2943520999979228,56894.91451917697,683992.3361229376,0.9168193684132875,0.0070050000213086605,6,2,0.13333333333333333,2,0,False,5,111011111101111,3519.717376640915,1091.5896694223538,0.9356920962273811,1.0117216778978408,bbe6633deaa7c11305a2ca11af2f778e1dea258e800f7ea7ebf86bbb524faa32,156.67729060976853,0.0013618083069812936,False,False,0.8164277546130473,False,False,1.723013364681706,False,False,1.940440237824927,False,False,1.0
7,6,0.34200399997644126,57792.41116121287,646130.3806060803,0.9105561154592319,0.006284999893978238,7,3,0.2,2,1,False,6,011111111111111,5087.060186459134,1361.567285082951,1.1294761167549892,1.1788213831076733,7ea8d41fa1991ff9deb019cb6c19d7ce82bf0e0a7d495efcbaf1fcf7da636f00,897.4966420358978,0.006263252954055609,False,False,0.9719741611804195,False,False,0.8871682264995152,False,False,1.7981147482644546,False,False,1.5634530091261285
8,7,0.39007139997556806,69910.54213347896,367558.9877597187,0.8097977618243387,0.004043699940666556,8,0,0.0,0,0,True,6,011111111111111,7235.963738198992,1694.3577752498231,1.3876306615967915,1.247656796072646,934b732fb9e9dc3ca4e1335af38318622d81cc0be003f0057232cdde34343cb7,12118.130972266088,0.10075835363489316,False,False,1.1568374513712,False,False,1.08096098050658,False,False,1.11382302092196,False,False,1.5096787237372786
9,8,0.4596456999424845,73121.87808994722,243473.04357211565,0.6996715652084546,0.012857499998062849,9,6,0.4,1,5,False,7,111100011001111,7549.331575815382,1789.2857573771853,1.7847327232311458,1.2035133046329254,37db87149624ec96632a5370f3d7aaa23efd22107a166088d70ca7c0e217e775,3211.3359564682614,0.11012619661588408,False,False,2.4522934334925335,False,False,2.3607674504251093,False,False,1.7795135775368964,False,False,2.147679651818288
10,9,0.5145316999405622,73121.87808994722,243473.04357211565,0.6996715652084546,0.004496699897572398,10,0,0.0,0,0,True,7,111100011001111,1549.2278528262163,652.3221615913898,0.5195649260820561,0.5760142503888983,376bba4a30749a6af0c291a2b2bc9a7d66427be06ba5f78cc2e00b9ba10f99bc,0.0,0.0,False,False,2.4551485251616554,False,False,2.450868287665832,False,False,2.264943069169409,False,False,1.7619054351379342
11,10,0.5716246999800205,73121.87808994722,241753.17620378197,0.6975349849041474,0.004954099887982011,11,0,0.0,0,0,True,7,111100011001111,1572.4554208205452,615.1676900491773,0.5268721496798057,0.6118222832874896,d63b8e2c04171fed80ec5b24d4fa261d30d11c5d27207e33b651ae0e07c9258f,0.0,0.0021365803043071896,False,False,0.5577953761008322,False,False,2.4241739036083203,False,False,2.4406060152556046,False,False,2.2491043493263656
