rank,y_pattern,count,share,mean_run_length,switches_into_pattern
1,111111111101011,629,0.7426210153482881,34.94444444444444,18
2,111111111101111,72,0.08500590318772137,24.0,3
3,111011111101111,55,0.06493506493506493,3.9285714285714284,14
4,111111010011111,16,0.018890200708382526,16.0,1
5,111111011011011,14,0.01652892561983471,4.666666666666667,3
6,111011111101011,13,0.015348288075560802,6.5,2
7,111011101101111,9,0.010625737898465172,9.0,1
8,111111011011111,8,0.009445100354191263,2.0,4
9,111111011111111,6,0.0070838252656434475,3.0,2
10,111100011001111,4,0.004722550177095631,4.0,1
