iteration,elapsed_time,LB,UB,gap,master_time,subproblem_time,auxiliary_time,cuts_added_total,open_depots
1,0.027402699925005436,0.0,1127941.8335714287,1.0,0.00029390002600848675,0.02032340015284717,0.0,1,0
2,0.07227339991368353,31207.757764582693,993072.1250916738,0.9685745305138821,0.0047519998624920845,0.01916630007326603,0.017572199925780296,2,9
3,0.11740330001339316,33156.997135846424,993072.1250916738,0.9666116928488093,0.006626200163736939,0.01904299994930625,0.01690169982612133,3,8
4,0.16560329985804856,56738.2372285672,696483.4039638,0.9185361246145124,0.005055599845945835,0.020048900041729212,0.019594299839809537,4,11
5,0.2104396999347955,56738.2372285672,693461.9071039963,0.9181811767202688,0.003504800144582987,0.02141840010881424,0.017054999945685267,5,11
6,0.2943520999979228,56894.91451917697,683992.3361229376,0.9168193684132875,0.0070050000213086605,0.054217000026255846,0.019514399813488126,6,13
7,0.34200399997644126,57792.41116121287,646130.3806060803,0.9105561154592319,0.006284999893978238,0.021008000010624528,0.017480800161138177,7,14
8,0.39007139997556806,69910.54213347896,367558.9877597187,0.8097977618243387,0.004043699940666556,0.023356599966064095,0.01813119975849986,8,14
9,0.4596456999424845,73121.87808994722,243473.04357211565,0.6996715652084546,0.012857499998062849,0.03427499998360872,0.01907559996470809,9,10
10,0.5145316999405622,73121.87808994722,243473.04357211565,0.6996715652084546,0.004496699897572398,0.029089500196278095,0.01796910003758967,10,10
11,0.5716246999800205,73121.87808994722,241753.17620378197,0.6975349849041474,0.004954099887982011,0.0297626000829041,0.018618299858644605,11,10
12,0.6280989998485893,73121.87808994722,237031.74431377935,0.6915101886389129,0.004628600087016821,0.028861999977380037,0.01936800009571016,12,10
13,0.6910871998406947,73981.12495878765,224281.13684570353,0.6701411184227959,0.011057799914851785,0.029022200033068657,0.019178600050508976,13,11
14,0.7493743998929858,75646.90853732965,224281.13684570353,0.6627139062997898,0.005362600088119507,0.027062000008299947,0.022706300020217896,14,11
15,0.8355693998746574,77032.93532507893,224281.13684570353,0.6565340429049344,0.010662199929356575,0.05247059999965131,0.01987389987334609,15,14
16,0.8856438999064267,77032.93532507893,224281.13684570353,0.6565340429049344,0.006382300052791834,0.02087369980290532,0.019299800042062998,16,14
17,0.9443861998151988,77561.46861958489,224281.13684570353,0.654177476936261,0.011111600091680884,0.02379719982855022,0.02020060014910996,17,12
18,1.0114019999746233,78042.22874404315,171044.52488615003,0.5437315003447827,0.009977299952879548,0.032102599972859025,0.02120340010151267,18,14
19,1.0846135998144746,78042.22874404315,171044.52488615003,0.5437315003447827,0.006627700058743358,0.04357560002245009,0.01933200005441904,19,14
20,1.1344408998265862,79772.02596246274,171044.52488615003,0.5336183603914813,0.00791790010407567,0.01971719996072352,0.0196148999966681,20,14
21,1.2168462998233736,80906.4655061238,164764.31559394093,0.5089563828522402,0.008640999905765057,0.04818139993585646,0.020673400023952127,21,14
22,1.2813257998786867,81726.17881194336,164764.31559394093,0.5039813170871522,0.008125599939376116,0.03218510001897812,0.020397900138050318,22,13
23,1.3400979998987168,84475.46132662533,164764.31559394093,0.4872951644771567,0.012924500042572618,0.021180100040510297,0.02084380015730858,23,13
24,1.4052479998208582,84586.2160937895,164764.31559394093,0.4866229632983704,0.009414500091224909,0.03266029991209507,0.01979890000075102,24,13
25,1.5009792998898774,87887.52913349854,141380.44594385044,0.37836149442898726,0.018936399836093187,0.052670199889689684,0.02077570022083819,25,14
26,1.566017499892041,95178.09654272694,141380.44594385044,0.32679448061348504,0.011906599858775735,0.02840680000372231,0.020812000147998333,26,14
27,1.6322031000163406,97318.28025401669,141380.44594385044,0.31165671741715356,0.016621400136500597,0.026066699996590614,0.020299899857491255,27,13
