iteration,x_90015100_BAC---1041,x_90015100_BAC-O-4312,x_90015100_BAC-O-4325,x_90015100_BAC-O-6423,x_90015100_BAC-O-6433,x_90015100_CON-S-0130,x_90015100_SLI---0770,x_90015100_SLI---1200,x_90016100_BAC---1041,x_90016100_BAC-O-4312,x_90016100_BAC-O-4325,x_90016100_BAC-O-6423,x_90016100_BAC-O-6433,x_90016100_CON-S-0130,x_90016100_SLI---0770,x_90016100_SLI---1200,x_90016200_BAC---1041,x_90016200_BAC-O-4312,x_90016200_BAC-O-4325,x_90016200_BAC-O-6423,x_90016200_BAC-O-6433,x_90016200_CON-S-0130,x_90016200_SLI---0770,x_90016200_SLI---1200,x_90016500_BAC---1041,x_90016500_BAC-O-4312,x_90016500_BAC-O-4325,x_90016500_BAC-O-6423,x_90016500_BAC-O-6433,x_90016500_CON-S-0130,x_90016500_SLI---0770,x_90016500_SLI---1200,x_90016700_BAC---1041,x_90016700_BAC-O-4312,x_90016700_BAC-O-4325,x_90016700_BAC-O-6423,x_90016700_BAC-O-6433,x_90016700_CON-S-0130,x_90016700_SLI---0770,x_90016700_SLI---1200,x_90016900_BAC---1041,x_90016900_BAC-O-4312,x_90016900_BAC-O-4325,x_90016900_BAC-O-6423,x_90016900_BAC-O-6433,x_90016900_CON-S-0130,x_90016900_SLI---0770,x_90016900_SLI---1200,x_90017100_BAC---1041,x_90017100_BAC-O-4312,x_90017100_BAC-O-4325,x_90017100_BAC-O-6423,x_90017100_BAC-O-6433,x_90017100_CON-S-0130,x_90017100_SLI---0770,x_90017100_SLI---1200,x_90018300_BAC---1041,x_90018300_BAC-O-4312,x_90018300_BAC-O-4325,x_90018300_BAC-O-6423,x_90018300_BAC-O-6433,x_90018300_CON-S-0130,x_90018300_SLI---0770,x_90018300_SLI---1200,x_90019100_BAC---1041,x_90019100_BAC-O-4312,x_90019100_BAC-O-4325,x_90019100_BAC-O-6423,x_90019100_BAC-O-6433,x_90019100_CON-S-0130,x_90019100_SLI---0770,x_90019100_SLI---1200,x_91017200_BAC---1041,x_91017200_BAC-O-4312,x_91017200_BAC-O-4325,x_91017200_BAC-O-6423,x_91017200_BAC-O-6433,x_91017200_CON-S-0130,x_91017200_SLI---0770,x_91017200_SLI---1200,x_91017300_BAC---1041,x_91017300_BAC-O-4312,x_91017300_BAC-O-4325,x_91017300_BAC-O-6423,x_91017300_BAC-O-6433,x_91017300_CON-S-0130,x_91017300_SLI---0770,x_91017300_SLI---1200,x_91017500_BAC---1041,x_91017500_BAC-O-4312,x_91017500_BAC-O-4325,x_91017500_BAC-O-6423,x_91017500_BAC-O-6433,x_91017500_CON-S-0130,x_91017500_SLI---0770,x_91017500_SLI---1200,x_91017600_BAC---1041,x_91017600_BAC-O-4312,x_91017600_BAC-O-4325,x_91017600_BAC-O-6423,x_91017600_BAC-O-6433,x_91017600_CON-S-0130,x_91017600_SLI---0770,x_91017600_SLI---1200,x_91017700_BAC---1041,x_91017700_BAC-O-4312,x_91017700_BAC-O-4325,x_91017700_BAC-O-6423,x_91017700_BAC-O-6433,x_91017700_CON-S-0130,x_91017700_SLI---0770,x_91017700_SLI---1200,x_9624708_BAC---1041,x_9624708_BAC-O-4312,x_9624708_BAC-O-4325,x_9624708_BAC-O-6423,x_9624708_BAC-O-6433,x_9624708_CON-S-0130,x_9624708_SLI---0770,x_9624708_SLI---1200
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,708.6048047286785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.9321428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.9321428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.7091071671521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.61079785019683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.87613041671057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.141642250463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.9321428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.951733125646133,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.6032269373129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.9321428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.71687876490901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.9321428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.9321428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.61079785019683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.0115788607827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.951733125646133,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0856362105744,0.0,0.0,0.0,0.0,0.0,17.203856189481378,0.0,376.26428571428573,0.0,0.0,0.0,3.237871301814084,0.0,184.41278007166545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.10162414923673,0.0,0.0,0.0,584.1060750989907,0.0,0.0,0.0,98.13908112077048,0.0,0.0,0.0,0.0,0.0,555.9107142857143,0.0,376.26428571428573,0.0,0.0,0.0,0.0,0.0,151.16591784685582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.43105940096724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.701482179863746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.605325520148156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.75089403047375,0.0,0.0,0.0,375.5195996157972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.618756460964554
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.3347818174852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.26428571428573,0.0,0.0,0.0,413.55630696126974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.207139609485166,0.0,0.0,0.0,0.0,0.0,555.9107142857143,0.0,376.26428571428573,20.231391406213515,0.0,0.0,0.0,0.0,146.190630551879,0.0,376.26428571428573,0.0,0.0,0.0,169.13866663316622,0.0,75.14853958475864,0.0,21.666914293488674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.795455312062984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.07489539346652,0.0,0.0,0.0,0.0,0.0,85.75089403047375,0.0,0.0,0.0,263.3849217416273,0.0,0.0,0.0,0.0,0.0,157.49252510417122,0.0,5.424554600206762,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,28.396769437632873,0.0,0.0,0.0,0.0,0.0,278.5909663982363,0.0,307.3347818174852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.26428571428573,24.41987533085906,0.0,0.0,0.0,0.0,162.8200309062767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.26428571428573,0.0,0.0,0.0,71.09775770821253,0.0,0.0,0.0,376.26428571428573,0.0,0.0,0.0,367.76007493097916,0.0,0.0,0.0,376.26428571428573,91.40054779476733,0.0,0.0,144.4030168402428,0.0,0.0,0.0,21.666914293488674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.795455312062984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.093551554436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.605325520148156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.75089403047375,0.0,0.0,0.0,375.5195996157972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.424554600206762,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.99462787418277,442.4704671775333,0.0,0.0,0.0,0.0,0.0,0.0,376.26428571428573,196.93157474346177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9851140516445,0.0,53.91274542251971,0.0,0.0,0.0,584.106075098991,0.0,222.17539147010802,0.0,376.26428571428573,175.12384520522815,0.0,0.0,0.0,0.0,0.0,0.0,376.26428571428573,160.1638891472639,0.0,0.0,0.0,0.0,0.0,0.0,21.666914293488674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.795455312062984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.5066087067584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.26428571428573,78.34642608729698,0.0,0.0,3.237871301814141,0.0,555.9107142857143,0.0,50.605325520148156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.75089403047375,0.0,0.0,0.0,375.5195996157972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.424554600206762,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.3347818174852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.26428571428573,0.0,0.0,0.0,0.0,0.0,185.86800312866055,0.0,0.0,31.769942269004293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.7731669358835,0.0,0.0,0.0,0.0,0.0,0.0,376.26428571428573,0.0,0.0,0.0,0.0,294.2080599447833,0.0,0.0,376.26428571428573,0.0,0.0,0.0,0.0,110.11962194243955,89.30096169941787,0.0,0.0,32.24243198435814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.19561802390325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.5634058136286,0.0,0.0,0.0,0.0,0.0,0.0,376.26428571428573,263.0607518327043,0.0,0.0,582.6949735944362,215.63532234218957,0.0,0.0,0.0,75.3055439287919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.53972765414551,0.0,0.0,558.8089279996982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0722538693553,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,337.3185690281564,0.0,0.0,0.0,0.0,0.10598191889876633,0.0,0.0,280.4593197188582,0.0,0.0,100.95621125505049,0.0,121.57321820898358,0.0,0.0,0.0,0.0,54.210566720114265,481.73876233938574,817.8094359158775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9851140516445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.24243198435814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.19561802390325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.3055439287919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.53972765414551,0.0,0.0,238.9294172437637,0.0,0.0,0.0,0.0,301.9087517247022,0.0,0.0,8.0722538693553,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,337.4308593946088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.97982682820324,0.0,0.0,0.0,425.6508454723315,0.0,0.0,0.0,77.98265294068202,0.0,56.951164909451066,582.6949735944362,392.5626978587168,117.9875047158484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9851140516445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.24243198435814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.19561802390325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.84080755027415,0.0,0.0,0.0,0.0,25.9217736606235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.53972765414551,0.0,0.0,262.61967261358814,0.0,0.0,0.0,0.0,279.5494095779016,0.0,0.0,8.0722538693553,0.0,0.0,0.0,0.0,0.0
