experiment_name,instance_name,instance_size,seed,method,variant_name,subproblem_mode,status,objective,best_bound,final_gap,runtime,master_time,subproblem_time,iterations,cuts_added_total,cuts_skipped_total,last_cut_violation,last_cut_added,gamma_target,gamma_schedule,adaptive_gap_enabled,gamma_continuation_enabled,cut_selection_enabled,delta_cut,exact_scenarios,scenario_mode_target,heuristic_scenarios,num_target_scenarios_used,num_target_scenarios_total_estimated,valid_UB,ub_uses_subproblem_bound,target_subproblem_status,target_subproblem_mip_gap,target_subproblem_objective_bound,total_shortage,service_violation,first_stage_cost,inventory_cost,worst_case_cost,error_message,instance_path,alpha
small_correctness,inventory_I3_J3_R4_seed0,small,0,monolithic_gurobi,monolithic_gurobi,,optimal,6436.530953301054,6436.530953301054,0.0,0.15687539998907596,0.0,0.0,0,0,,,,2,,False,False,False,,True,full,False,79,79,,,,,,,,2413.21,,4023.3209533010536,,experiments\results\small_correctness\instances\inventory_I3_J3_R4_seed0.json,
small_correctness,inventory_I3_J3_R4_seed0,small,0,scenario_benders_full,scenario_benders_full,scenario_enumeration,optimal,6436.530953301053,6436.4686331347675,9.682260015184556e-06,2.24876679998124,0.060478099854663014,2.1832159000332467,22,22,0,-1.3642420526593924e-12,True,2,2,False,False,False,0.0,True,full,False,79,79,True,False,optimal,,4023.3209533010536,,,2413.21,,4023.3209533010536,,experiments\results\small_correctness\instances\inventory_I3_J3_R4_seed0.json,
small_correctness,inventory_I3_J3_R4_seed0,small,0,standard_benders,standard_benders,robust_dual_milp,optimal,6436.530953301054,6435.985210520311,8.47883409095312e-05,0.4684117999859154,0.09675190009875223,0.34847810020437464,37,37,0,3.183231456205249e-12,True,2,2,False,False,False,0.0,not_applicable,not_applicable,False,not_applicable,not_applicable,True,False,optimal,0.0,4023.320953301055,,,2413.21,,4023.320953301054,,experiments\results\small_correctness\instances\inventory_I3_J3_R4_seed0.json,
small_correctness,inventory_I3_J3_R4_seed0,small,0,proposed_adaptive_benders,proposed_adaptive_benders,robust_dual_milp,optimal,6436.530953301054,6435.985210520311,8.47883409095312e-05,0.3582354999962263,0.0687556000193581,0.2734640999697149,37,37,0,3.183231456205249e-12,True,2,2,True,True,True,0.0,not_applicable,not_applicable,False,not_applicable,not_applicable,True,False,optimal,0.0,4023.320953301055,,,2413.21,,4023.320953301054,,experiments\results\small_correctness\instances\inventory_I3_J3_R4_seed0.json,
small_correctness,inventory_I3_J3_R4_seed1,small,1,monolithic_gurobi,monolithic_gurobi,,optimal,6825.161894639923,6825.161894639923,0.0,0.09572219999972731,0.0,0.0,0,0,,,,2,,False,False,False,,True,full,False,79,79,,,,,,,,2667.5499999999997,,4157.611894639923,,experiments\results\small_correctness\instances\inventory_I3_J3_R4_seed1.json,
small_correctness,inventory_I3_J3_R4_seed1,small,1,scenario_benders_full,scenario_benders_full,scenario_enumeration,optimal,6825.161894639919,6825.160804147647,1.5977529759518454e-07,0.7771772000123747,0.012338600005023181,0.7626337999827228,8,8,0,1.8189894035458565e-12,True,2,2,False,False,False,0.0,True,full,False,79,79,True,False,optimal,,4157.611894639919,,,2667.55,,4157.611894639919,,experiments\results\small_correctness\instances\inventory_I3_J3_R4_seed1.json,
small_correctness,inventory_I3_J3_R4_seed1,small,1,standard_benders,standard_benders,robust_dual_milp,optimal,6825.161894639921,6825.161894639922,0.0,0.25054209999507293,0.056699100183323026,0.18182119983248413,27,27,0,0.0,True,2,2,False,False,False,0.0,not_applicable,not_applicable,False,not_applicable,not_applicable,True,False,optimal,0.0,4157.611894639922,,,2667.55,,4157.611894639921,,experiments\results\small_correctness\instances\inventory_I3_J3_R4_seed1.json,
small_correctness,inventory_I3_J3_R4_seed1,small,1,proposed_adaptive_benders,proposed_adaptive_benders,robust_dual_milp,optimal,6825.161894639921,6825.161894639922,0.0,0.21106960001634434,0.050056799955200404,0.1512318997993134,27,27,0,0.0,True,2,2,True,True,True,0.0,not_applicable,not_applicable,False,not_applicable,not_applicable,True,False,optimal,0.0,4157.611894639922,,,2667.55,,4157.611894639921,,experiments\results\small_correctness\instances\inventory_I3_J3_R4_seed1.json,
small_correctness,inventory_I3_J3_R4_seed2,small,2,monolithic_gurobi,monolithic_gurobi,,optimal,4828.081879847105,4828.081879847105,0.0,0.11630270001478493,0.0,0.0,0,0,,,,2,,False,False,False,,True,full,False,79,79,,,,,,,,2536.764666793347,,2291.3172130537573,,experiments\results\small_correctness\instances\inventory_I3_J3_R4_seed2.json,
small_correctness,inventory_I3_J3_R4_seed2,small,2,scenario_benders_full,scenario_benders_full,scenario_enumeration,optimal,4828.081879847105,4828.081879847104,1.8837598955586273e-16,1.9723477000370622,0.0407013000221923,1.9275815999135375,19,19,0,9.094947017729282e-13,True,2,2,False,False,False,0.0,True,full,False,79,79,True,False,optimal,,2291.3172130537564,,,2536.764666793348,,2291.3172130537564,,experiments\results\small_correctness\instances\inventory_I3_J3_R4_seed2.json,
