scale,seed,evaluation,comparison,absolute_shortage_reduction,relative_shortage_reduction,relative_cost_change
small,190,reoptimized,k1_vs_k2,0.19487307624657005,0.47199650563903356,-0.2374655309467104
small,190,reoptimized,k2_vs_full,0.04421095552110599,0.20280564865980208,-0.14718805789925907
small,190,reoptimized,k1_vs_full,0.23908403176767604,0.5790785968075515,-0.3497014985279068
small,190,fixed_first_stage,k1_vs_k2,0.5248327275242162,0.6472732905193674,2.918351372738804e-16
small,190,fixed_first_stage,k2_vs_full,0.1122179341419158,0.39236539720866737,-1.4591756863694014e-16
small,190,fixed_first_stage,k1_vs_full,0.637050661666132,0.785671045990842,1.459175686369402e-16
small,191,reoptimized,k1_vs_k2,0.36976027907177256,0.7108930816538829,-0.5176625133245952
small,191,reoptimized,k2_vs_full,0.008707041685968891,0.057902347447839786,-0.030014568163634296
small,191,reoptimized,k1_vs_full,0.3784673207577415,0.7276330508895341,-0.5321396646962903
small,191,fixed_first_stage,k1_vs_k2,0.36045831545473384,0.5991724316499217,0.0
small,191,fixed_first_stage,k2_vs_full,0.09946776296472987,0.4124977090533916,0.0
small,191,fixed_first_stage,k1_vs_full,0.45992607841946376,0.7645128853197709,0.0
small,192,reoptimized,k1_vs_k2,0.1607997178048457,0.5762974827294534,-0.21291157544283587
small,192,reoptimized,k2_vs_full,0.05577968113620293,0.47182008382524665,-0.1559152034249395
small,192,reoptimized,k1_vs_full,0.21657939894104863,0.7762088399450107,-0.3356306272710813
small,192,fixed_first_stage,k1_vs_k2,0.20205264948511753,0.309563454606501,0.0
small,192,fixed_first_stage,k2_vs_full,0.38820655951801464,0.861438412244992,3.444610251807231e-16
small,192,fixed_first_stage,k1_vs_full,0.5902592090031321,0.904332016026194,3.444610251807231e-16
medium,190,reoptimized,k1_vs_k2,0.06652842658848979,0.1357371925551713,-0.015582290141177997
medium,190,reoptimized,k2_vs_full,0.23799871357963787,0.5618500135109566,-0.5053233784703502
medium,190,reoptimized,k1_vs_full,0.30452714016812765,0.6213232625950657,-0.513031573113083
medium,190,fixed_first_stage,k1_vs_k2,0.21660792485762342,0.3248225370761524,2.1864720568027284e-16
medium,190,fixed_first_stage,k2_vs_full,0.2779969834601693,0.6174388587355214,2.186472056802728e-16
medium,190,fixed_first_stage,k1_vs_full,0.4946049083177927,0.7417033392277976,4.372944113605457e-16
medium,191,reoptimized,k1_vs_k2,0.3865512346297384,0.7289555287360954,-0.5966124004947647
medium,191,reoptimized,k2_vs_full,-0.0005615586080310875,-0.003907045827667356,-0.0485529167144542
medium,191,reoptimized,k1_vs_full,0.3859896760217073,0.7278965455655314,-0.616198045017186
medium,191,fixed_first_stage,k1_vs_k2,0.3899920019711436,0.6176950030898785,0.0
medium,191,fixed_first_stage,k2_vs_full,0.09708333109689568,0.40221020214576325,0.0
medium,191,fixed_first_stage,k1_vs_full,0.4870753330680393,0.7714619731784339,0.0
medium,192,reoptimized,k1_vs_k2,0.4094940535410667,0.8323755323732591,-0.6328868266680553
medium,192,reoptimized,k2_vs_full,0.06527621534643048,0.7915698809888011,-0.21271500703237317
medium,192,reoptimized,k1_vs_full,0.4747702688874972,0.9650620122633695,-0.7109773079150368
medium,192,fixed_first_stage,k1_vs_k2,0.3658068906848931,0.5550436351429283,0.0
medium,192,fixed_first_stage,k2_vs_full,0.2760647744281537,0.9413883424812958,0.0
medium,192,fixed_first_stage,k1_vs_full,0.6418716651130467,0.9739203699322296,0.0
