scale,seed,evaluation,mode,region,worst_shortage_rate,fill_rate,number_eligible_warehouses,number_actually_used_warehouses,total_inbound_shipment
medium,190,reoptimized,k1,0,0.4901267319305198,0.5098732680694802,1,1,103288.38112182973
medium,190,reoptimized,k1,1,0.14995008794617098,0.850049912053829,1,1,273863.029615838
medium,190,reoptimized,k1,2,0.49012673193051975,0.5098732680694802,1,1,191025.99476951733
medium,190,reoptimized,k1,3,0.49012673193051975,0.5098732680694802,1,1,137588.96969151802
medium,190,reoptimized,k1,4,0.4901267319305198,0.5098732680694802,1,1,154303.84691526584
medium,190,reoptimized,k1,5,0.4901267319305198,0.5098732680694802,1,1,172947.06263535106
medium,190,reoptimized,k1,6,0.49012673193051975,0.5098732680694802,1,1,139450.80814680576
medium,190,reoptimized,k1,7,0.49012673193051975,0.5098732680694802,1,1,155243.8350395247
medium,190,reoptimized,k2,0,0.42359830534203,0.57640169465797,2,2,116498.65964627312
medium,190,reoptimized,k2,1,0.1553997856950191,0.8446002143049809,2,2,273847.840120968
medium,190,reoptimized,k2,2,0.4235983053420301,0.57640169465797,2,2,160304.36359809377
medium,190,reoptimized,k2,3,0.42359830534203013,0.5764016946579699,2,2,146267.82109208257
medium,190,reoptimized,k2,4,0.42359830534203,0.57640169465797,2,2,151754.01743476314
medium,190,reoptimized,k2,5,0.42359830534203,0.57640169465797,2,2,184132.62097809563
medium,190,reoptimized,k2,6,0.42359830534203,0.57640169465797,2,2,136907.85274643247
medium,190,reoptimized,k2,7,0.4235983053420301,0.57640169465797,2,2,156909.40730512777
medium,190,reoptimized,full,0,0.18559959176239216,0.8144004082376078,5,5,164901.79811595354
medium,190,reoptimized,full,1,0.18559959176239224,0.8144004082376077,5,5,231366.22686609978
medium,190,reoptimized,full,2,0.18559959176239216,0.8144004082376078,5,5,232164.56128508446
medium,190,reoptimized,full,3,0.1855995917623922,0.8144004082376077,5,5,212959.07163917023
medium,190,reoptimized,full,4,0.1855995917623921,0.814400408237608,5,5,222104.34061492493
medium,190,reoptimized,full,5,0.18559959176239213,0.8144004082376078,5,5,260213.32246960388
medium,190,reoptimized,full,6,0.1855995917623921,0.814400408237608,5,5,192700.16304885436
medium,190,reoptimized,full,7,0.18559959176239213,0.8144004082376078,5,5,230959.66671388128
medium,190,fixed_first_stage,k1,0,0.6668500492834992,0.3331499507165008,1,1,76460.43720210929
medium,190,fixed_first_stage,k1,1,0.5919134539324507,0.40808654606754935,1,1,129084.3109399333
medium,190,fixed_first_stage,k1,2,0.37776211627080947,0.6222378837291905,1,1,232576.85708709058
medium,190,fixed_first_stage,k1,3,0.6668500492834996,0.33314995071650044,1,1,84971.52573997583
medium,190,fixed_first_stage,k1,4,0.6668500492834993,0.33314995071650066,1,1,111064.86707569887
medium,190,fixed_first_stage,k1,5,0.6668500492834993,0.33314995071650066,1,1,109465.00238101384
medium,190,fixed_first_stage,k1,6,0.6668500492834992,0.3331499507165008,1,1,92333.5409152784
medium,190,fixed_first_stage,k1,7,0.6668500492834991,0.3331499507165009,1,1,140393.8100504078
medium,190,fixed_first_stage,k2,0,0.4502421244258757,0.5497578755741244,2,2,110891.85547116291
medium,190,fixed_first_stage,k2,1,0.45024212442587574,0.5497578755741243,2,2,156119.06840459627
medium,190,fixed_first_stage,k2,2,0.45024212442587574,0.5497578755741243,2,2,148118.55732965912
medium,190,fixed_first_stage,k2,3,0.45024212442587574,0.5497578755741243,2,2,138131.2379802641
medium,190,fixed_first_stage,k2,4,0.45024212442587574,0.5497578755741243,2,2,144467.71914465888
medium,190,fixed_first_stage,k2,5,0.4502421244258758,0.5497578755741241,2,2,175096.00650597556
medium,190,fixed_first_stage,k2,6,0.45024212442587574,0.5497578755741243,2,2,129353.81379276732
medium,190,fixed_first_stage,k2,7,0.45024212442587574,0.5497578755741243,2,2,149618.53283180317
medium,190,fixed_first_stage,full,0,0.1722451409657064,0.8277548590342936,5,5,167942.5057407079
medium,190,fixed_first_stage,full,1,0.17224514096570642,0.8277548590342936,5,5,233089.4541106276
medium,190,fixed_first_stage,full,2,0.1722451409657064,0.8277548590342936,5,5,225293.8368523595
medium,190,fixed_first_stage,full,3,0.17224514096570642,0.8277548590342936,5,5,209890.49772972552
medium,190,fixed_first_stage,full,4,0.1722451409657064,0.8277548590342936,5,5,220670.11475841986
medium,190,fixed_first_stage,full,5,0.17224514096570642,0.8277548590342936,5,5,266039.5112894262
medium,190,fixed_first_stage,full,6,0.1722451409657064,0.8277548590342936,5,5,197084.3462227677
medium,190,fixed_first_stage,full,7,0.1722451409657064,0.8277548590342936,5,5,227379.1544526055
medium,191,reoptimized,k1,0,0.5302809559589499,0.46971904404105014,1,1,126091.46257480877
medium,191,reoptimized,k1,1,0.53028095595895,0.46971904404105,1,1,105512.86283847483
medium,191,reoptimized,k1,2,0.53028095595895,0.46971904404105,1,1,178727.2998235073
medium,191,reoptimized,k1,3,0.5302809559589499,0.46971904404105014,1,1,221278.95191898072
medium,191,reoptimized,k1,4,0.5302809559589499,0.46971904404105014,1,1,186304.8439831392
medium,191,reoptimized,k1,5,0.5302809559589499,0.46971904404105014,1,1,171421.04988493974
medium,191,reoptimized,k1,6,0.5302809559589499,0.46971904404105014,1,1,147460.77915119746
medium,191,reoptimized,k1,7,0.19862507835199952,0.8013749216480005,1,1,257848.31692510223
medium,191,reoptimized,k2,0,0.1437297213292115,0.8562702786707885,2,2,215864.5903610293
medium,191,reoptimized,k2,1,0.14372972132921255,0.8562702786707874,2,2,190556.98300084338
medium,191,reoptimized,k2,2,0.14372972132921152,0.8562702786707885,2,2,207688.5923496374
medium,191,reoptimized,k2,3,0.14372972132921163,0.8562702786707883,2,2,268376.0060586144
medium,191,reoptimized,k2,4,0.1437297213292116,0.8562702786707884,2,2,254761.25853211287
medium,191,reoptimized,k2,5,0.14372972132921175,0.8562702786707883,2,2,296626.9329607791
medium,191,reoptimized,k2,6,0.1437297213292115,0.8562702786707885,2,2,211199.6039650587
medium,191,reoptimized,k2,7,0.14372972132921166,0.8562702786707883,2,2,229588.23392531922
medium,191,reoptimized,full,0,0.14429127993724267,0.8557087200627573,5,5,217084.8949767879
medium,191,reoptimized,full,1,0.14429127993724256,0.8557087200627574,5,5,192125.60493702948
medium,191,reoptimized,full,2,0.14429127993724256,0.8557087200627574,5,5,207816.98635146263
medium,191,reoptimized,full,3,0.14429127993724258,0.8557087200627574,5,5,267015.75308200024
medium,191,reoptimized,full,4,0.14429127993724256,0.8557087200627574,5,5,254264.24684846014
medium,191,reoptimized,full,5,0.14429127993724256,0.8557087200627574,5,5,295476.76934483764
medium,191,reoptimized,full,6,0.14429127993724256,0.8557087200627574,5,5,213170.44893230963
medium,191,reoptimized,full,7,0.14429127993724256,0.8557087200627574,5,5,231022.2321521433
medium,191,fixed_first_stage,k1,0,0.6313666130052817,0.36863338699471826,1,1,100995.88975332996
medium,191,fixed_first_stage,k1,1,0.6313666130052819,0.36863338699471815,1,1,83785.0787363633
medium,191,fixed_first_stage,k1,2,0.6313666130052816,0.36863338699471837,1,1,149665.68090804544
medium,191,fixed_first_stage,k1,3,0.6313666130052819,0.36863338699471815,1,1,127563.25863509698
medium,191,fixed_first_stage,k1,4,0.6313666130052819,0.36863338699471815,1,1,149865.8693267498
medium,191,fixed_first_stage,k1,5,0.6313666130052819,0.36863338699471815,1,1,132249.26833948249
medium,191,fixed_first_stage,k1,6,0.6313666130052817,0.36863338699471826,1,1,145731.64262076726
medium,191,fixed_first_stage,k1,7,0.5450353147363123,0.4549646852636877,1,1,182841.66023479047
medium,191,fixed_first_stage,k2,0,0.24137461103413818,0.7586253889658618,2,2,194282.33341083155
medium,191,fixed_first_stage,k2,1,0.24137461103413818,0.7586253889658618,2,2,172576.67142383763
medium,191,fixed_first_stage,k2,2,0.24137461103413818,0.7586253889658618,2,2,183337.03614121367
medium,191,fixed_first_stage,k2,3,0.2413746110341382,0.7586253889658618,2,2,234670.02893242714
medium,191,fixed_first_stage,k2,4,0.2413746110341382,0.7586253889658618,2,2,228647.56592975397
medium,191,fixed_first_stage,k2,5,0.24137461103413818,0.7586253889658618,2,2,264062.8333691682
medium,191,fixed_first_stage,k2,6,0.24137461103413818,0.7586253889658618,2,2,185581.20523442415
medium,191,fixed_first_stage,k2,7,0.24137461103413818,0.7586253889658618,2,2,206997.85361897456
medium,191,fixed_first_stage,full,0,0.14429127993724247,0.8557087200627576,5,5,216751.1307774752
medium,191,fixed_first_stage,full,1,0.14429127993724247,0.8557087200627576,5,5,189236.21482286474
medium,191,fixed_first_stage,full,2,0.14429127993724247,0.8557087200627576,5,5,208251.41125032285
medium,191,fixed_first_stage,full,3,0.14429127993724247,0.8557087200627576,5,5,267432.8897050207
medium,191,fixed_first_stage,full,4,0.14429127993724247,0.8557087200627576,5,5,255025.3479263839
medium,191,fixed_first_stage,full,5,0.14429127993724247,0.8557087200627576,5,5,295913.3394455334
medium,191,fixed_first_stage,full,6,0.1442912799372425,0.8557087200627576,5,5,211908.0050595579
medium,191,fixed_first_stage,full,7,0.14429127993724247,0.8557087200627576,5,5,229948.961155321
medium,192,reoptimized,k1,0,0.49195830201005813,0.5080416979899418,1,1,140921.39806497196
medium,192,reoptimized,k1,1,0.49195830201005813,0.5080416979899418,1,1,132921.4277373531
medium,192,reoptimized,k1,2,0.4919583020100581,0.5080416979899419,1,1,141311.89110181693
medium,192,reoptimized,k1,3,0.4919583020100581,0.5080416979899419,1,1,122328.10021716348
medium,192,reoptimized,k1,4,0.10261532315068068,0.8973846768493193,1,1,239609.5723926717
medium,192,reoptimized,k1,5,0.49195830201005813,0.5080416979899418,1,1,180716.49798730132
medium,192,reoptimized,k1,6,0.13683341573527977,0.8631665842647203,1,1,232969.93225008415
medium,192,reoptimized,k1,7,0.4919583020100581,0.5080416979899419,1,1,170769.96572631644
medium,192,reoptimized,k2,0,0.08246424846899215,0.9175357515310079,2,2,251861.05926323446
medium,192,reoptimized,k2,1,0.08246424846899147,0.9175357515310085,2,2,235154.03100763026
medium,192,reoptimized,k2,2,0.08246424846899145,0.9175357515310085,2,2,250219.7619316556
medium,192,reoptimized,k2,3,0.08246424846899154,0.9175357515310084,2,2,208890.73519792434
medium,192,reoptimized,k2,4,0.08246424846899147,0.9175357515310085,2,2,224894.01854129133
medium,192,reoptimized,k2,5,0.08246424846899147,0.9175357515310085,2,2,247068.03607745195
medium,192,reoptimized,k2,6,0.08246424846899146,0.9175357515310085,2,2,234133.15350288045
medium,192,reoptimized,k2,7,0.08246424846899145,0.9175357515310085,2,2,245859.55630450853
medium,192,reoptimized,full,0,0.017188033122560967,0.982811966877439,5,5,270305.35718943924
medium,192,reoptimized,full,1,0.017188033122560967,0.982811966877439,5,5,252957.57319195673
medium,192,reoptimized,full,2,0.017188033122560967,0.982811966877439,5,5,268668.5904177756
medium,192,reoptimized,full,3,0.017188033122560967,0.982811966877439,5,5,224173.379105684
medium,192,reoptimized,full,4,0.01718803312256098,0.982811966877439,5,5,241094.37414450923
medium,192,reoptimized,full,5,0.017188033122560984,0.982811966877439,5,5,264967.40747684706
medium,192,reoptimized,full,6,0.017188033122560967,0.982811966877439,5,5,233760.3897275479
medium,192,reoptimized,full,7,0.017188033122560967,0.982811966877439,5,5,261863.20899020505
medium,192,fixed_first_stage,k1,0,0.6590596982356078,0.34094030176439216,1,1,94543.98394284991
medium,192,fixed_first_stage,k1,1,0.6590596982356078,0.34094030176439216,1,1,92402.36400871164
medium,192,fixed_first_stage,k1,2,0.6590596982356078,0.34094030176439216,1,1,94634.25178429352
medium,192,fixed_first_stage,k1,3,0.659059698235608,0.34094030176439205,1,1,77356.73600991054
medium,192,fixed_first_stage,k1,4,0.5340147183760126,0.46598528162398745,1,1,167042.5260530189
medium,192,fixed_first_stage,k1,5,0.36810883959142515,0.6318911604085748,1,1,205907.78201023935
medium,192,fixed_first_stage,k1,6,0.2886724784885947,0.7113275215114053,1,1,220904.18658970454
medium,192,fixed_first_stage,k1,7,0.6590596982356078,0.34094030176439216,1,1,89981.00769643328
medium,192,fixed_first_stage,k2,0,0.2932528075507147,0.7067471924492853,2,2,194924.0042445687
medium,192,fixed_first_stage,k2,1,0.29325280755071464,0.7067471924492854,2,2,181956.49857523773
medium,192,fixed_first_stage,k2,2,0.29325280755071464,0.7067471924492854,2,2,193579.59608194474
medium,192,fixed_first_stage,k2,3,0.2932528075507147,0.7067471924492853,2,2,166039.53451473202
medium,192,fixed_first_stage,k2,4,0.29325280755071464,0.7067471924492854,2,2,210730.66868302794
medium,192,fixed_first_stage,k2,5,0.2932528075507147,0.7067471924492853,2,2,238959.81811451702
medium,192,fixed_first_stage,k2,6,0.29325280755071464,0.7067471924492854,2,2,226217.75131478268
medium,192,fixed_first_stage,k2,7,0.2932528075507147,0.7067471924492853,2,2,187835.48239868743
medium,192,fixed_first_stage,full,0,0.017188033122560977,0.982811966877439,5,5,269322.0693615453
medium,192,fixed_first_stage,full,1,0.01718803312256098,0.982811966877439,5,5,250141.1169195566
medium,192,fixed_first_stage,full,2,0.017188033122560974,0.982811966877439,5,5,266661.32203689055
medium,192,fixed_first_stage,full,3,0.017188033122560974,0.982811966877439,5,5,222790.44403094787
medium,192,fixed_first_stage,full,4,0.01718803312256098,0.982811966877439,5,5,239150.1234328581
medium,192,fixed_first_stage,full,5,0.017188033122560984,0.982811966877439,5,5,263313.368031618
medium,192,fixed_first_stage,full,6,0.017188033122560974,0.982811966877439,5,5,232815.73032360373
medium,192,fixed_first_stage,full,7,0.017188033122560974,0.982811966877439,5,5,260418.17178879314
small,190,reoptimized,k1,0,0.41286974356458944,0.5871302564354106,1,1,8013.517928838619
small,190,reoptimized,k1,1,0.3671045098820343,0.6328954901179658,1,1,11211.713595054911
small,190,reoptimized,k1,2,0.3699135261384896,0.6300864738615104,1,1,11798.965442719846
small,190,reoptimized,k1,3,0.4128697435645894,0.5871302564354106,1,1,10844.48214633809
small,190,reoptimized,k2,0,0.21799666731801937,0.7820033326819806,2,2,10729.782937678914
small,190,reoptimized,k2,1,0.21799666731801937,0.7820033326819806,2,2,11967.599346143345
small,190,reoptimized,k2,2,0.21799666731801934,0.7820033326819806,2,2,11430.978626880198
small,190,reoptimized,k2,3,0.21799666731801937,0.7820033326819806,2,2,14271.849859390279
small,190,reoptimized,full,0,0.17378571179691338,0.8262142882030866,3,3,11055.478994297266
small,190,reoptimized,full,1,0.17378571179691338,0.8262142882030866,3,3,12947.033246262547
small,190,reoptimized,full,2,0.17378571179691335,0.8262142882030866,3,3,11950.803904068123
small,190,reoptimized,full,3,0.17378571179691338,0.8262142882030866,3,3,14843.98181237213
small,190,fixed_first_stage,k1,0,0.1731882481257797,0.8268117518742203,1,1,13380.015977459072
small,190,fixed_first_stage,k1,1,0.8018215550683083,0.19817844493169168,1,1,3834.919999999999
small,190,fixed_first_stage,k1,2,0.8108363734630455,0.1891636265369545,1,1,3463.1609404134592
small,190,fixed_first_stage,k1,3,0.7119697156729622,0.2880302843270378,1,1,5790.487075542215
small,190,fixed_first_stage,k2,0,0.28600364593882927,0.7139963540611707,2,2,9862.233625167864
small,190,fixed_first_stage,k2,1,0.28600364593882927,0.7139963540611707,2,2,11472.580590981168
small,190,fixed_first_stage,k2,2,0.28600364593882927,0.7139963540611707,2,2,10206.920599554402
small,190,fixed_first_stage,k2,3,0.28600364593882927,0.7139963540611707,2,2,12211.809361788739
small,190,fixed_first_stage,full,0,0.17378571179691346,0.8262142882030865,3,3,11128.648923995823
small,190,fixed_first_stage,full,1,0.1737857117969135,0.8262142882030865,3,3,12691.01041820114
small,190,fixed_first_stage,full,2,0.1737857117969135,0.8262142882030865,3,3,12212.112143014028
small,190,fixed_first_stage,full,3,0.17378571179691346,0.8262142882030865,3,3,14811.373755476972
small,191,reoptimized,k1,0,0.5201348678362862,0.47986513216371385,1,1,7272.299634077337
small,191,reoptimized,k1,1,0.5201348678362863,0.47986513216371374,1,1,7180.94251384758
small,191,reoptimized,k1,2,0.5201348678362866,0.4798651321637134,1,1,6516.4306394745245
small,191,reoptimized,k1,3,0.2993914719487581,0.700608528051242,1,1,15820.237324607158
small,191,reoptimized,k2,0,0.15037458876451362,0.8496254112354864,2,2,13142.820810412815
small,191,reoptimized,k2,1,0.1503745887645136,0.8496254112354864,2,2,11978.949730826242
small,191,reoptimized,k2,2,0.1503745887645136,0.8496254112354864,2,2,11136.001448402028
small,191,reoptimized,k2,3,0.15037458876451362,0.8496254112354864,2,2,14677.418259958878
small,191,reoptimized,full,0,0.14166754707854473,0.8583324529214553,3,3,12838.988373708267
small,191,reoptimized,full,1,0.1416675470785447,0.8583324529214553,3,3,12368.074339586796
small,191,reoptimized,full,2,0.1416675470785447,0.8583324529214553,3,3,11170.581280756476
small,191,reoptimized,full,3,0.1416675470785447,0.8583324529214553,3,3,15069.345009523737
small,191,fixed_first_stage,k1,0,0.601593625498008,0.398406374501992,1,1,6030.269727494975
small,191,fixed_first_stage,k1,1,0.601593625498008,0.398406374501992,1,1,8517.892835360448
