scale,seed,evaluation,mode,rho,scenario_count,certified,runtime,objective_t,objective_bound,first_stage_cost,warehouse_opening_cost,inventory_cost,actual_robust_cost,transportation_cost,shortage_cost,service_violation_cost,worst_region_shortage_rate,minimum_regional_fill_rate,minimum_weighted_fill_rate,number_opened_warehouses,active_warehouse_region_arcs,objective_t_consistency_error
medium,190,reoptimized,k1,0.025,821,True,54.175893399864435,0.49012673193051975,0.49012673193051975,5196.668144289281,786.0,4410.668144289282,44362.28098340685,3901.1644069725553,12710.925033307294,22553.523398837715,0.4901267319305198,0.5098732680694802,0.6252576973375776,4,8,5.551115123125783e-17
medium,190,reoptimized,k2,0.025,821,True,150.72285440005362,0.42359830534202997,0.42359830534202997,4991.296598167966,786.0,4205.296598167966,43671.01504979894,3614.0238695858015,12185.253744988335,22880.440837056834,0.42359830534203013,0.5764016946579699,0.6243657197325143,4,16,1.6653345369377348e-16
medium,190,reoptimized,full,0.025,821,True,180.02189219999127,0.1855995917623921,0.1855995917623921,6265.499428452524,1012.0,5253.499428452524,21603.030183605028,4843.825279859664,5555.849364002747,4937.856111290092,0.18559959176239224,0.8144004082376077,0.8275234542466686,5,40,1.3877787807814457e-16
medium,190,fixed_first_stage,k1,0.025,821,True,2.305420699995011,0.6668500492834991,0.6668500492834991,6265.499428452524,1012.0,5253.499428452524,66554.31604118497,2466.080773216324,19856.0384915014,37966.697348014706,0.6668500492834996,0.33314995071650044,0.4509660180393128,5,8,4.440892098500626e-16
medium,190,fixed_first_stage,k2,0.025,821,True,9.103095000144094,0.4502421244258757,0.4502421244258757,6265.499428452524,1012.0,5253.499428452524,66554.31604118498,3456.496877577374,17612.34507938374,39219.97465577134,0.4502421244258758,0.5497578755741241,0.5497578755741241,5,16,1.1102230246251565e-16
medium,190,fixed_first_stage,full,0.025,821,True,8.115912100067362,0.1722451409657064,0.1722451409657064,6265.499428452524,1012.0,5253.499428452524,66554.316041185,6682.8114613530415,5659.960385542406,47946.04476583702,0.17224514096570642,0.8277548590342936,0.8277548590342936,5,40,2.7755575615628914e-17
medium,191,reoptimized,k1,0.025,821,True,39.977403700118884,0.5302809559589499,0.5302809559589499,5846.974234754862,877.0,4969.974234754862,46245.499680005174,4022.0739647184764,14497.825689099835,21878.625791432,0.53028095595895,0.46971904404105,0.6305136955426088,4,8,1.1102230246251565e-16
medium,191,reoptimized,k2,0.025,821,True,241.25249910005368,0.14372972132921147,0.14372972132921147,6809.651260887353,1005.0,5804.651260887354,18654.861103837415,4451.865446197308,4766.0108199964625,2627.3335767562876,0.14372972132921255,0.8562702786707874,0.8562702786707884,5,16,1.0824674490095276e-15
medium,191,reoptimized,full,0.025,821,True,228.16550970007665,0.14429127993724256,0.14429127993724256,6638.59400017095,1005.0,5633.59400017095,17749.113186343086,4630.768184001121,4782.22320418518,1697.5277979858333,0.14429127993724267,0.8557087200627573,0.8557087200627574,5,40,1.1102230246251565e-16
medium,191,fixed_first_stage,k1,0.025,821,True,2.519607299938798,0.6313666130052817,0.6313666130052817,6638.59400017095,1005.0,5633.59400017095,70247.2734427213,2662.763085040382,21265.472679117745,39680.4436783922,0.6313666130052819,0.36863338699471815,0.4722466072379815,5,8,1.1102230246251565e-16
medium,191,fixed_first_stage,k2,0.025,821,True,6.4957971998956054,0.24137461103413815,0.24137461103413815,6638.59400017095,1005.0,5633.59400017095,70247.2734427213,4227.344253792623,8464.67144616004,50916.66374259769,0.2413746110341382,0.7586253889658618,0.7586253889658618,5,16,5.551115123125783e-17
medium,191,fixed_first_stage,full,0.025,821,True,8.534041600069031,0.14429127993724247,0.14429127993724247,6638.59400017095,1005.0,5633.59400017095,70247.2734427213,5948.359619215732,5844.256473821714,51816.06334951291,0.1442912799372425,0.8557087200627576,0.8557087200627576,5,40,2.7755575615628914e-17
medium,192,reoptimized,k1,0.025,821,True,57.470714000053704,0.49195830201005813,0.49195830201005813,5796.091346101783,998.0,4798.091346101783,38964.88226296825,3971.1740271702174,12659.827074104844,16537.789815591397,0.49195830201005813,0.5080416979899418,0.6593537537852314,4,8,0.0
medium,192,reoptimized,k2,0.025,821,True,235.48495429987088,0.08246424846899145,0.08246424846899145,6855.876575363258,1188.0,5667.876575363257,14304.521576063878,4876.515105909821,2572.1298947907985,0.0,0.08246424846899215,0.9175357515310079,0.9194077962802589,5,16,7.077671781985373e-16
medium,192,reoptimized,full,0.025,821,True,116.06703689997084,0.017188033122560967,0.017188033122560967,6994.386160433002,1188.0,5806.386160433002,11261.735168416717,3958.1016466006668,309.2473613830476,0.0,0.017188033122560984,0.982811966877439,0.982811966877439,5,40,1.734723475976807e-17
medium,192,fixed_first_stage,k1,0.025,821,True,3.5192966999020427,0.6590596982356077,0.6590596982356077,6994.386160433002,1188.0,5806.386160433002,56052.03081517966,2785.9087530370048,18208.99522273255,28062.740678977105,0.659059698235608,0.34094030176439205,0.5015203572950346,5,8,2.220446049250313e-16
medium,192,fixed_first_stage,k2,0.025,821,True,4.512448099907488,0.29325280755071464,0.29325280755071464,6994.386160433002,1188.0,5806.386160433002,56052.03081517966,4411.674813450015,7873.33837036334,36772.63147093331,0.2932528075507147,0.7067471924492853,0.706916613861032,5,16,5.551115123125783e-17
medium,192,fixed_first_stage,full,0.025,821,True,5.38233260018751,0.017188033122560974,0.017188033122560974,6994.386160433002,1188.0,5806.386160433002,56052.03081517966,6099.304115880022,658.4888410906442,42299.851697775994,0.017188033122560984,0.982811966877439,0.982811966877439,5,40,1.0408340855860843e-17
small,190,reoptimized,k1,0.025,79,True,0.1270449000876397,0.4128697435645894,0.4128697435645894,2297.6299999999997,686.0,1611.6299999999999,11826.756904885244,959.7818318708579,2653.389780674396,5915.95529233999,0.41286974356458944,0.5871302564354106,0.6641107958842338,3,4,5.551115123125783e-17
small,190,reoptimized,k2,0.025,79,True,0.21278590010479093,0.21799666731801934,0.21799666731801934,2297.63,686.0,1611.63,9018.309797088996,1369.870985188652,2449.850574173178,2900.9582377271654,0.21799666731801937,0.7820033326819806,0.7820033326819807,3,8,2.7755575615628914e-17
small,190,reoptimized,full,0.025,79,True,0.21508800005540252,0.17378571179691335,0.17378276152634886,2297.63,686.0,1611.63,7690.922292521605,1791.1381431895443,1180.4943814198682,2421.6597679121924,0.17378571179691338,0.8262142882030866,0.8262142882030866,3,12,2.7755575615628914e-17
small,190,fixed_first_stage,k1,0.025,79,True,0.03979600011371076,0.8108363734630455,0.8108363734630455,2297.63,686.0,1611.63,24931.73948192233,532.0881653888221,7385.7454289643765,14716.27588756913,0.8108363734630455,0.1891636265369545,0.3882099086551448,3,4,0.0
small,190,fixed_first_stage,k2,0.025,79,True,0.05007710005156696,0.28600364593882927,0.28600364593882927,2297.63,686.0,1611.63,24931.739481922337,1310.5406157446866,3520.211935523427,17803.35693065422,0.28600364593882927,0.7139963540611707,0.7139963540611707,3,8,0.0
small,190,fixed_first_stage,full,0.025,79,True,0.03812139993533492,0.17378571179691346,0.17378571179691346,2297.63,686.0,1611.63,24931.739481922334,1735.5442525426336,1350.564561002771,19548.000668376928,0.1737857117969135,0.8262142882030865,0.8262142882030865,3,12,2.7755575615628914e-17
small,191,reoptimized,k1,0.025,79,True,0.07309570000506938,0.5201348678362862,0.5201348678362862,1534.6691032845108,453.0,1081.6691032845106,12231.012431680154,1280.0525436456767,4262.273224631599,5154.0175601183655,0.5201348678362866,0.4798651321637134,0.5867189783698039,2,4,4.440892098500626e-16
small,191,reoptimized,k2,0.025,79,True,0.23068080004304647,0.1503745887645136,0.1503745887645136,2273.13,722.0,1551.13,5899.475795792236,1797.587215534659,1525.8983271058705,302.8602531517052,0.15037458876451362,0.8496254112354864,0.8496254112354865,3,8,2.7755575615628914e-17
small,191,reoptimized,full,0.025,79,True,0.22666980000212789,0.1416675470785447,0.1416675470785447,2273.13,722.0,1551.1300000000003,5722.405577389719,2305.4322200728693,1051.790597664922,92.05275965192735,0.14166754707854473,0.8583324529214553,0.8583324529214557,3,12,2.7755575615628914e-17
small,191,fixed_first_stage,k1,0.025,79,True,0.05367699987255037,0.601593625498008,0.601593625498008,2273.13,722.0,1551.1300000000003,16654.81397109483,1271.0413320068299,4757.563016308981,8353.079622779018,0.601593625498008,0.398406374501992,0.4867364362809272,3,4,0.0
small,191,fixed_first_stage,k2,0.025,79,True,0.04234360018745065,0.24113531004327413,0.24113531004327413,2273.13,722.0,1551.1300000000003,16654.81397109483,1736.6782516700237,1294.0093062119427,11350.996413212863,0.24113531004327413,0.7588646899567258,0.7588646899567258,3,8,0.0
small,191,fixed_first_stage,full,0.025,79,True,0.04282690002582967,0.14166754707854426,0.14166754707854426,2273.13,722.0,1551.1300000000003,16654.81397109483,2289.437571065765,1344.096180913969,10748.150219115098,0.1416675470785443,0.8583324529214558,0.8583324529214558,3,12,2.7755575615628914e-17
small,192,reoptimized,k1,0.025,79,True,0.08482680004090071,0.27902207214799546,0.27902207214799546,2690.4200000000005,502.0,2188.42,8317.547050502655,1907.3640167140682,1932.7049673993045,1787.0580663892815,0.27902207214799546,0.7209779278520045,0.8212649246326729,3,4,0.0
small,192,reoptimized,k2,0.025,79,True,0.18670770013704896,0.11822235434314975,0.11822235434314975,2690.42,502.0,2188.42,6546.645004160222,2156.2514671778617,1397.2178524510189,302.75568453134116,0.11822235434314976,0.8817776456568502,0.8817776456568502,3,8,1.3877787807814457e-17
small,192,reoptimized,full,0.025,79,True,0.22152139991521835,0.06244267320694682,0.06244267320694682,2690.42,502.0,2188.42,5525.923516585717,2192.6369642841687,469.17296783842806,173.6935844631199,0.062442673206946825,0.9375573267930531,0.9375573267930531,3,12,6.938893903907228e-18
small,192,fixed_first_stage,k1,0.025,79,True,0.04106089984998107,0.652701882210079,0.652701882210079,2690.42,502.0,2188.42,21122.731114110982,1159.9866832651928,5889.940087588056,11382.384343257734,0.6527018822100791,0.3472981177899209,0.48728627509862865,3,4,1.1102230246251565e-16
small,192,fixed_first_stage,k2,0.025,79,True,0.04707610001787543,0.45064923272496143,0.45064923272496143,2690.42,502.0,2188.42,21122.731114110982,1640.762028249184,4430.463931889585,12361.085153972212,0.45064923272496155,0.5493507672750384,0.5493507672750385,3,8,1.1102230246251565e-16
small,192,fixed_first_stage,full,0.025,79,True,0.04038460017181933,0.062442673206946825,0.062442673206946825,2690.42,502.0,2188.42,21122.73111411099,2649.0831549825175,637.8148458375031,15145.413113290966,0.06244267320694683,0.9375573267930531,0.9375573267930531,3,12,6.938893903907228e-18
