experiment_name,instance_name,instance_size,seed,method,variant_name,subproblem_mode,status,objective,best_bound,final_gap,runtime,master_time,subproblem_time,iterations,cuts_added_total,cuts_skipped_total,last_cut_violation,last_cut_added,gamma_target,gamma_schedule,adaptive_gap_enabled,gamma_continuation_enabled,cut_selection_enabled,delta_cut,exact_scenarios,scenario_mode_target,heuristic_scenarios,num_target_scenarios_used,num_target_scenarios_total_estimated,valid_UB,ub_uses_subproblem_bound,target_subproblem_status,target_subproblem_mip_gap,target_subproblem_objective_bound,total_shortage,service_violation,first_stage_cost,inventory_cost,worst_case_cost,error_message,instance_path,alpha
sensitivity_gamma,inventory_I5_J5_R8_seed0,medium,0,proposed_adaptive_benders,proposed_adaptive_benders,robust_dual_milp,iteration_limit,13591.535274606704,12555.809799409166,0.07620371461144654,4.68211940000765,2.547514599689748,1.9796431997674517,300,300,0,1034.951116973738,True,0,0,True,True,True,1000000.0,not_applicable,not_applicable,False,not_applicable,not_applicable,True,False,optimal,0.0,5559.15647191446,,,8032.378802692245,,5559.15647191446,,experiments\results_tuned\sensitivity_gamma\instances\inventory_I5_J5_R8_seed0.json,
sensitivity_gamma,inventory_I5_J5_R8_seed0,medium,0,proposed_adaptive_benders,proposed_adaptive_benders,robust_dual_milp,iteration_limit,13574.863423365474,13416.866435920483,0.011638937536052218,9.736509899958037,2.065607500146143,7.445234300219454,300,300,0,236.63816315190525,True,1,1,True,True,True,1000000.0,not_applicable,not_applicable,False,not_applicable,not_applicable,True,False,optimal,0.0,5479.523260859141,,,8184.229216877189,,5390.634206488286,,experiments\results_tuned\sensitivity_gamma\instances\inventory_I5_J5_R8_seed0.json,
sensitivity_gamma,inventory_I5_J5_R8_seed0,medium,0,proposed_adaptive_benders,proposed_adaptive_benders,robust_dual_milp,iteration_limit,14052.431201897723,14039.513668128511,0.0009192383569519117,13.998539499996696,2.19035199994687,11.55091289972188,300,300,0,12.505786861839624,True,2,2,True,True,True,1000000.0,not_applicable,not_applicable,False,not_applicable,not_applicable,True,False,optimal,0.0,5880.803729684668,,,8171.627472213056,,5880.803729684668,,experiments\results_tuned\sensitivity_gamma\instances\inventory_I5_J5_R8_seed0.json,
sensitivity_gamma,inventory_I5_J5_R8_seed0,medium,0,proposed_adaptive_benders,proposed_adaptive_benders,robust_dual_milp,iteration_limit,14958.276115000972,14953.379380011076,0.00032735958022496085,13.134645500045735,2.1291827000677586,10.766555500158574,300,300,0,6.124856872296732,True,3,3,True,True,True,1000000.0,not_applicable,not_applicable,False,not_applicable,not_applicable,True,False,optimal,0.0,6790.613106986805,,,8184.836952433525,,6773.439162567448,,experiments\results_tuned\sensitivity_gamma\instances\inventory_I5_J5_R8_seed0.json,
sensitivity_gamma,inventory_I5_J5_R8_seed0,medium,0,proposed_adaptive_benders,proposed_adaptive_benders,robust_dual_milp,iteration_limit,15963.866477400094,15650.987213511744,0.01959921578718352,11.059974200034048,2.1059848004952073,8.719919000228401,300,300,0,311.8146119723606,True,4,4,True,True,True,1000000.0,not_applicable,not_applicable,False,not_applicable,not_applicable,True,False,optimal,0.0,7985.578371784939,,,7978.2881056151555,,7985.578371784937,,experiments\results_tuned\sensitivity_gamma\instances\inventory_I5_J5_R8_seed0.json,
sensitivity_gamma,inventory_I5_J5_R8_seed1,medium,1,proposed_adaptive_benders,proposed_adaptive_benders,robust_dual_milp,iteration_limit,12317.209478773908,11179.113496021175,0.09239884932654589,4.845797899994068,2.69069179991493,2.005554100323934,300,300,0,1419.9686106956715,True,0,0,True,True,True,1000000.0,not_applicable,not_applicable,False,not_applicable,not_applicable,True,False,optimal,0.0,4651.227681046605,,,8099.379186435521,,4217.830292338386,,experiments\results_tuned\sensitivity_gamma\instances\inventory_I5_J5_R8_seed1.json,
sensitivity_gamma,inventory_I5_J5_R8_seed1,medium,1,proposed_adaptive_benders,proposed_adaptive_benders,robust_dual_milp,iteration_limit,12263.843539855996,11797.837928816476,0.03799833302871636,10.31100940000033,2.342770200339146,7.729774500010535,300,300,0,466.0056110395185,True,1,1,True,True,True,1000000.0,not_applicable,not_applicable,False,not_applicable,not_applicable,True,False,optimal,0.0,4497.25941344281,,,7766.584126413186,,4497.25941344281,,experiments\results_tuned\sensitivity_gamma\instances\inventory_I5_J5_R8_seed1.json,
sensitivity_gamma,inventory_I5_J5_R8_seed1,medium,1,proposed_adaptive_benders,proposed_adaptive_benders,robust_dual_milp,iteration_limit,12927.264132741337,11939.298967726285,0.07642492292803066,15.239335399994161,2.0562257998390123,12.922396000474691,300,300,0,1345.8328234652681,True,2,2,True,True,True,1000000.0,not_applicable,not_applicable,False,not_applicable,not_applicable,True,False,optimal,0.0,5544.580839972684,,,7899.810391477382,,5027.453741263954,,experiments\results_tuned\sensitivity_gamma\instances\inventory_I5_J5_R8_seed1.json,
sensitivity_gamma,inventory_I5_J5_R8_seed1,medium,1,proposed_adaptive_benders,proposed_adaptive_benders,robust_dual_milp,iteration_limit,12956.070921603827,12383.655549245494,0.044181247217769476,18.409336999990046,2.060405200056266,16.070643099898007,300,300,0,1056.3818861481086,True,3,3,True,True,True,1000000.0,not_applicable,not_applicable,False,not_applicable,not_applicable,True,False,optimal,0.0,5254.178074209023,,,7817.311234744037,,5138.75968685979,,experiments\results_tuned\sensitivity_gamma\instances\inventory_I5_J5_R8_seed1.json,
sensitivity_gamma,inventory_I5_J5_R8_seed1,medium,1,proposed_adaptive_benders,proposed_adaptive_benders,robust_dual_milp,iteration_limit,13192.927210695063,13030.002484730992,0.012349399292675018,16.758738400007132,2.209214399685152,14.27898890041979,300,300,0,338.1238492371813,True,4,4,True,True,True,1000000.0,not_applicable,not_applicable,False,not_applicable,not_applicable,True,False,optimal,0.0,5453.279923875634,,,7803.13970998674,,5389.787500708323,,experiments\results_tuned\sensitivity_gamma\instances\inventory_I5_J5_R8_seed1.json,
