case,first_date,last_date,nominal_weekly_units,max_scenario_units
1,2016-02-29,2016-03-06,302577,601955.711475
2,2016-03-07,2016-03-13,298607,598328.046303
3,2016-03-14,2016-03-20,287425,573110.099497
4,2016-03-21,2016-03-27,287458,587122.747615
5,2016-03-28,2016-04-03,291571,579600.292123
6,2016-04-04,2016-04-10,310767,615887.383382
7,2016-04-11,2016-04-17,296009,591366.724585
8,2016-04-18,2016-04-24,285279,571529.283910
9,2016-04-25,2016-05-01,289814,578859.668257
10,2016-05-02,2016-05-08,311512,618711.417515
11,2016-05-09,2016-05-15,326832,647969.381621
12,2016-05-16,2016-05-22,303606,610103.691510
