case_id,run_order,v8_status,pure_status,v8_certified,pure_certified,v8_runtime,pure_runtime,v8_iterations,pure_iterations,v8_blocks,pure_blocks,v8_cuts,v8_t,pure_t,direct_t,v8_direct_abs_error,pure_direct_abs_error
week_2018-05-07,v8->pure_ccg,optimal,optimal,True,True,60.33771219989285,90.31461560004391,2,5,11,11,0,0.808285338431691,0.8082853374992592,0.8082853384312966,3.944622406493181e-13,9.320373361987322e-10
week_2018-05-14,pure_ccg->v8,optimal,optimal,True,True,36.21885800000746,57.680278000072576,2,5,11,11,0,0.8893556928773751,0.8893556928777486,0.8893556928773569,1.8207657603852567e-14,3.9168668308775523e-13
week_2018-05-21,v8->pure_ccg,optimal,uncertified_infeasible,True,False,1.4933313999790698,1.4068451001076028,2,2,11,9,0,0.0032189167221488286,1.0,0.0032189167221491335,3.0487765090292385e-16,
week_2018-06-04,pure_ccg->v8,optimal,optimal,True,True,30.522382900002412,43.03733230009675,3,5,14,11,0,0.8199820799063303,0.8199820799056994,0.8199820799063242,6.106226635438361e-15,6.248335182590381e-13
week_2018-06-11,v8->pure_ccg,optimal,optimal,True,True,32.338429199997336,45.80244350002613,2,4,11,10,0,0.9368039957025093,0.9368039957022943,0.9368039957024054,1.0391687510491465e-13,1.1102230246251565e-13
week_2018-06-18,pure_ccg->v8,optimal,optimal,True,True,33.664391799946316,50.56853940000292,2,5,11,11,0,0.9092296009465026,0.9092296003822489,0.9092296009464038,9.880984919163893e-14,5.641549449819649e-10
week_2018-07-02,v8->pure_ccg,optimal,optimal,True,True,4.160816099960357,16.080741900019348,2,4,11,10,0,0.5545264217870799,0.5545264217871703,0.5545264217873023,2.2237767183241886e-13,1.3200551762793111e-13
week_2018-07-09,pure_ccg->v8,optimal,optimal,True,True,1.8538843999849632,3.8083637000527233,2,5,11,11,1,0.004281267882568217,0.00428126788256776,0.004281267882568102,1.1535911115245767e-16,3.41740524767431e-16
week_2018-07-16,v8->pure_ccg,optimal,optimal,True,True,30.734123699949123,52.50645879993681,2,5,11,11,0,0.9294500261251751,0.9294500213120108,0.9294500261253839,2.0872192862952943e-13,4.813373033485391e-09
week_2018-07-30,pure_ccg->v8,optimal,optimal,True,True,49.05393860000186,65.90130629995838,2,5,11,11,0,0.7760996302819738,0.776099630282272,0.7760996302819718,1.9984014443252818e-15,3.0020430585864233e-13
week_2018-08-06,v8->pure_ccg,optimal,optimal,True,True,26.671581999980845,40.72243919991888,2,5,11,11,0,0.8762844813488753,0.8762844813491676,0.8762844813494925,6.17284001691587e-13,3.249622793077833e-13
week_2018-08-13,pure_ccg->v8,optimal,optimal,True,True,46.00466530001722,70.57361610000953,2,5,11,11,0,0.8507443344038768,0.8507443344043032,0.8507443344042595,3.8269387658829146e-13,4.374278717023117e-14
