cell_index,region,product,factor,nominal_weekly_demand,upward_scale,absolute_loading
0,SP,cama_mesa_banho,1,42.115385,31.884615,0.25753866
1,SP,moveis_decoracao,1,33.192308,31.907692,0.21839168
2,SP,esporte_lazer,2,30.480769,31.769231,0.13662169
3,SP,beleza_saude,1,26.423077,25.326923,0.1457815
4,SP,informatica_acessorios,1,21.692308,21.757692,0.15329916
5,RJ,cama_mesa_banho,1,16.0,15.35,0.29086056
6,RJ,moveis_decoracao,1,10.673077,12.576923,0.17767063
7,RJ,esporte_lazer,1,9.673077,9.326923,0.18469278
8,RJ,beleza_saude,5,8.038462,8.961538,0.25483089
9,RJ,informatica_acessorios,5,7.846154,7.953846,0.13085071
10,MG,cama_mesa_banho,1,12.711538,12.338462,0.24495657
11,MG,moveis_decoracao,1,8.846154,9.603846,0.23557877
12,MG,esporte_lazer,5,8.903846,9.996154,0.29830771
13,MG,beleza_saude,1,8.096154,9.803846,0.22093686
14,MG,informatica_acessorios,2,6.788462,8.911538,0.2436655
15,RS,cama_mesa_banho,4,6.0,6.0,0.19977747
16,RS,moveis_decoracao,6,5.076923,6.923077,0.18670452
17,RS,esporte_lazer,4,4.596154,6.753846,0.32554192
18,RS,beleza_saude,6,3.384615,4.615385,0.22210808
19,RS,informatica_acessorios,6,4.076923,6.923077,0.19194661
20,PR,cama_mesa_banho,6,4.173077,6.276923,0.22998064
21,PR,moveis_decoracao,1,4.673077,5.126923,0.3639308
22,PR,esporte_lazer,6,4.057692,5.942308,0.17750005
23,PR,beleza_saude,2,3.326923,5.673077,0.17549946
24,PR,informatica_acessorios,5,3.0,6.8,0.42266219
25,SC,cama_mesa_banho,4,2.942308,4.957692,0.21569871
26,SC,moveis_decoracao,6,3.0,5.0,0.14769192
27,SC,esporte_lazer,3,3.326923,4.123077,0.41299386
28,SC,beleza_saude,6,2.480769,4.519231,0.18179063
29,SC,informatica_acessorios,6,2.480769,3.519231,0.39303507
30,BA,cama_mesa_banho,6,2.365385,4.634615,0.34531331
31,BA,moveis_decoracao,6,2.326923,3.673077,0.21456462
32,BA,esporte_lazer,5,2.884615,4.015385,0.2517717
33,BA,beleza_saude,4,2.884615,4.115385,0.31234574
34,BA,informatica_acessorios,6,2.173077,4.726923,0.27046623
35,GO,cama_mesa_banho,4,2.230769,2.769231,0.39556912
36,GO,moveis_decoracao,3,0.923077,1.976923,0.59701448
37,GO,esporte_lazer,5,1.576923,3.873077,0.25923396
38,GO,beleza_saude,5,1.846154,4.153846,0.16638506
39,GO,informatica_acessorios,6,1.134615,2.315385,0.19529662
