hub_code,seller_state,seller_city,training_item_count,latitude,longitude,selection_rank
SP::sao paulo,SP,sao paulo,3358,-23.57146358639663,-46.59942309824574,1
SP::ibitinga,SP,ibitinga,3309,-21.757690120914923,-48.82976816265947,2
SP::santo andre,SP,santo andre,790,-23.65869024839867,-46.52249513292757,3
MG::belo horizonte,MG,belo horizonte,606,-19.867906407416527,-43.94863882589885,4
SP::piracicaba,SP,piracicaba,585,-22.70928658782974,-47.66520568122805,5
SP::ribeirao preto,SP,ribeirao preto,550,-21.177173112308903,-47.79105569532287,6
PR::curitiba,PR,curitiba,515,-25.45795217485142,-49.29405194171619,7
PR::maringa,PR,maringa,277,-23.413212832143632,-51.95479525453632,8
SP::sao jose dos campos,SP,sao jose dos campos,243,-23.22230412572855,-45.88797225437128,9
RS::porto alegre,RS,porto alegre,205,-30.00839962559865,-51.20149509977495,10
MG::itauna,MG,itauna,195,-20.076917145110954,-44.57734014848548,11
RJ::rio de janeiro,RJ,rio de janeiro,193,-22.916833051618703,-43.303678777468456,12
SC::joinville,SC,joinville,189,-26.26409773355359,-48.805319320338384,13
SP::praia grande,SP,praia grande,177,-24.00920985345376,-46.41937090980433,14
SP::sorocaba,SP,sorocaba,161,-23.5035911312828,-47.47047479156328,15
MG::tres coracoes,MG,tres coracoes,151,-21.69506411550893,-45.257499190163706,16
DF::brasilia,DF,brasilia,147,-15.845798834786912,-47.96795249999999,17
SP::jacarei,SP,jacarei,145,-23.302661247830148,-45.97283979175633,18
SP::guara,SP,guara,136,-20.43034840679484,-47.82574642607055,19
SP::guarulhos,SP,guarulhos,131,-23.42439868040567,-46.5276677164868,20
