split,week_start,factor_1_score,factor_2_score,factor_3_score,factor_4_score,factor_5_score,factor_6_score,active_factor_count
train,2017-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0
train,2017-01-09,0.0,0.0,0.0,0.0,0.0,0.04225729,0
train,2017-01-16,0.02461993,0.0,0.0,0.0,0.0,0.0,0
train,2017-01-23,0.0,0.09830508,0.0,0.04717923,0.00529101,0.07221495,0
train,2017-01-30,0.05889241,0.09830508,0.4454291,0.0,0.01532802,0.03753064,0
train,2017-02-06,0.0072532,0.04531722,0.0,0.0,0.05534791,0.01097835,0
train,2017-02-13,0.04891124,0.03954802,0.0,0.0,0.01560505,0.02425449,0
train,2017-02-20,0.00660664,0.0,0.01945525,0.0,0.0,0.01141079,0
train,2017-02-27,0.10411481,0.0,0.27237354,0.0,0.00410509,0.11527051,0
train,2017-03-06,0.13703299,0.0,0.0,0.00560748,0.00276319,0.02314815,0
train,2017-03-13,0.07581159,0.0,0.0,0.04827621,0.03126916,0.03795812,0
train,2017-03-20,0.07737429,0.09830508,0.27237354,0.05420561,0.00529101,0.02068558,0
train,2017-03-27,0.03159714,0.0,0.0,0.09687434,0.0210084,0.04030927,0
train,2017-04-03,0.0,0.0,0.0,0.03894081,0.0,0.0,0
train,2017-04-10,0.0,0.0,0.0,0.0,0.00410509,0.01457825,0
train,2017-04-17,0.01681957,0.0,0.0,0.0412682,0.0,0.24714888,0
train,2017-04-24,0.03630644,0.0,0.08162313,0.0,0.0,0.27550713,0
train,2017-05-01,0.0991818,0.08272191,0.22234704,0.04266874,0.25044857,0.0696824,0
train,2017-05-08,0.02292292,0.23234067,0.20289179,0.37118451,0.38366224,0.20918469,0
train,2017-05-15,0.11711567,0.18054724,0.08162313,0.0,0.23246128,0.18584142,0
train,2017-05-22,0.01486671,0.06840194,0.01945525,0.12895891,0.19176692,0.04677639,0
train,2017-05-29,0.06858983,0.08272191,0.01945525,0.10280374,0.05250131,0.11479558,0
train,2017-06-05,0.02754278,0.04531722,0.01945525,0.58319542,0.05899601,0.26677726,1
train,2017-06-12,0.02071789,0.1201266,0.01945525,0.2,0.12381775,0.26359426,0
train,2017-06-19,0.06465227,0.0,0.01945525,0.00560748,0.19536618,0.21498673,0
train,2017-06-26,0.01253207,0.00544794,0.0,0.04157175,0.07407407,0.08709547,0
train,2017-07-03,0.11001678,0.0,0.01945525,0.41530571,0.16301748,0.24140256,0
train,2017-07-10,0.26486874,0.34124586,0.0,0.5396172,0.201378,0.3404784,0
train,2017-07-17,0.31886441,0.0,0.27237354,0.2541946,0.18343205,0.37412761,1
train,2017-07-24,0.13565095,0.18716549,0.46488436,0.20640344,0.23999268,0.28405475,0
train,2017-07-31,0.24688285,0.22387963,0.20289179,0.17862566,0.1671934,0.17686535,0
train,2017-08-07,0.19203889,0.28127364,0.0,0.39313541,0.11806722,0.28198387,0
train,2017-08-14,0.23563303,0.24942893,0.35399668,0.61138271,0.3466553,0.24824717,1
train,2017-08-21,0.26862742,0.0579096,0.08162313,0.64303286,0.12219451,0.10850778,1
train,2017-08-28,0.28735367,0.00544794,0.01945525,0.01428638,0.21529306,0.26401151,0
train,2017-09-04,0.05863403,0.38494754,0.77821012,0.09687434,0.19352842,0.28614252,1
train,2017-09-11,0.38786912,0.1839639,0.0,1.31138138,0.57229277,0.38590374,3
train,2017-09-18,0.28253243,0.62417272,0.0,0.45337894,0.19468412,0.18412261,1
train,2017-09-25,0.02847732,0.20815015,0.10107839,0.48187116,0.08661707,0.11126756,0
train,2017-10-02,0.16269848,0.11037127,0.32416045,0.22857504,0.39248743,0.13947466,0
train,2017-10-09,0.26678435,0.34271194,0.0,0.10383177,0.26967517,0.35956843,1
train,2017-10-16,0.3556403,0.45471094,0.10107839,0.36287714,0.44051779,0.1858267,2
train,2017-10-23,0.51987618,0.15705154,0.10107839,0.19496908,0.20304845,0.3271884,1
train,2017-10-30,0.17718007,0.10322683,2.48823066,0.17565178,0.30336595,0.17857112,1
train,2017-11-06,0.47079969,0.18769169,1.32414593,0.04950662,0.04173236,0.31522473,2
train,2017-11-13,0.41962768,0.14991929,0.46488436,0.20237931,0.56550488,0.37139477,3
train,2017-11-20,3.72058286,1.19006179,2.23531237,2.16966303,1.51216715,1.55139548,6
train,2017-11-27,1.52879256,1.52990559,1.08160862,0.57259506,1.17050895,0.88379441,6
train,2017-12-04,0.5777802,1.13723242,0.56669776,0.343466,0.77103762,0.18752384,4
train,2017-12-11,0.25342326,0.63407594,0.4454291,0.41201827,0.34121046,0.21617825,1
train,2017-12-18,0.08799325,0.30325365,0.0,0.01428638,0.15165323,0.11623753,0
train,2017-12-25,0.02491745,0.0,0.01945525,0.05788294,0.15818516,0.03544323,0
calibration,2018-01-01,0.51008686,0.41752132,1.73985677,0.1956835,0.21023818,0.53660282,3
calibration,2018-01-08,1.16888312,1.25437884,0.68796642,0.77654418,1.05704032,0.57284354,6
calibration,2018-01-15,1.21856854,1.06305068,1.85074445,0.31891642,0.90897309,0.46750763,5
calibration,2018-01-22,0.88335778,1.47424234,0.01945525,0.66229225,0.73439492,0.6535386,5
calibration,2018-01-29,0.90296245,1.30180038,0.96033996,0.80129097,1.06831606,0.92007287,6
calibration,2018-02-05,0.78468148,1.52843476,0.32416045,0.9941212,0.95742537,0.70038621,5
calibration,2018-02-12,0.99061957,1.45561607,0.3436157,0.95100961,1.42280482,0.56615157,5
calibration,2018-02-19,1.12025301,1.62695491,0.08162313,0.57883801,1.46602023,1.07476552,5
calibration,2018-02-26,1.27595671,2.54193068,1.8299825,0.78554109,1.54613994,1.06642769,6
calibration,2018-03-05,1.05320125,1.27746197,2.59911834,0.31859445,1.13060382,1.05806006,5
calibration,2018-03-12,0.77827917,0.90503805,0.27237354,0.51795634,0.79438086,1.1450956,4
calibration,2018-03-19,1.20158701,1.20920792,0.84945228,0.72091183,0.48626822,0.75181396,6
calibration,2018-03-26,0.87420477,0.93824581,0.47526533,0.5729269,0.64556306,0.47416684,5
calibration,2018-04-02,0.93388095,0.79875167,0.46488436,0.7587308,0.52269099,0.68849435,5
calibration,2018-04-09,0.99403222,0.98687824,1.34490788,0.4241487,0.40619319,0.44149513,4
calibration,2018-04-16,0.9524115,1.25537418,1.36566983,0.63821535,0.56734835,0.74701807,6
calibration,2018-04-23,0.90978191,0.80294861,0.84945228,0.85003222,0.48269314,0.55977219,6
