split,week_start,region,product,demand_units
train,2017-01-02,SP,cama_mesa_banho,0
train,2017-01-02,SP,moveis_decoracao,1
train,2017-01-02,SP,esporte_lazer,0
train,2017-01-02,SP,beleza_saude,0
train,2017-01-02,SP,informatica_acessorios,0
train,2017-01-02,RJ,cama_mesa_banho,1
train,2017-01-02,RJ,moveis_decoracao,0
train,2017-01-02,RJ,esporte_lazer,0
train,2017-01-02,RJ,beleza_saude,0
train,2017-01-02,RJ,informatica_acessorios,0
train,2017-01-02,MG,cama_mesa_banho,0
train,2017-01-02,MG,moveis_decoracao,0
train,2017-01-02,MG,esporte_lazer,0
train,2017-01-02,MG,beleza_saude,1
train,2017-01-02,MG,informatica_acessorios,0
train,2017-01-02,RS,cama_mesa_banho,0
train,2017-01-02,RS,moveis_decoracao,0
train,2017-01-02,RS,esporte_lazer,0
train,2017-01-02,RS,beleza_saude,0
train,2017-01-02,RS,informatica_acessorios,0
train,2017-01-02,PR,cama_mesa_banho,0
train,2017-01-02,PR,moveis_decoracao,0
train,2017-01-02,PR,esporte_lazer,0
train,2017-01-02,PR,beleza_saude,0
train,2017-01-02,PR,informatica_acessorios,0
train,2017-01-02,SC,cama_mesa_banho,0
train,2017-01-02,SC,moveis_decoracao,0
train,2017-01-02,SC,esporte_lazer,0
train,2017-01-02,SC,beleza_saude,0
train,2017-01-02,SC,informatica_acessorios,0
train,2017-01-02,BA,cama_mesa_banho,0
train,2017-01-02,BA,moveis_decoracao,0
train,2017-01-02,BA,esporte_lazer,0
train,2017-01-02,BA,beleza_saude,0
train,2017-01-02,BA,informatica_acessorios,0
train,2017-01-02,GO,cama_mesa_banho,0
train,2017-01-02,GO,moveis_decoracao,0
train,2017-01-02,GO,esporte_lazer,0
train,2017-01-02,GO,beleza_saude,0
train,2017-01-02,GO,informatica_acessorios,0
train,2017-01-09,SP,cama_mesa_banho,0
train,2017-01-09,SP,moveis_decoracao,13
train,2017-01-09,SP,esporte_lazer,1
train,2017-01-09,SP,beleza_saude,1
train,2017-01-09,SP,informatica_acessorios,1
train,2017-01-09,RJ,cama_mesa_banho,2
train,2017-01-09,RJ,moveis_decoracao,4
train,2017-01-09,RJ,esporte_lazer,1
train,2017-01-09,RJ,beleza_saude,1
train,2017-01-09,RJ,informatica_acessorios,0
train,2017-01-09,MG,cama_mesa_banho,1
train,2017-01-09,MG,moveis_decoracao,5
train,2017-01-09,MG,esporte_lazer,0
train,2017-01-09,MG,beleza_saude,0
train,2017-01-09,MG,informatica_acessorios,0
train,2017-01-09,RS,cama_mesa_banho,0
train,2017-01-09,RS,moveis_decoracao,6
train,2017-01-09,RS,esporte_lazer,0
train,2017-01-09,RS,beleza_saude,0
train,2017-01-09,RS,informatica_acessorios,0
train,2017-01-09,PR,cama_mesa_banho,0
train,2017-01-09,PR,moveis_decoracao,0
train,2017-01-09,PR,esporte_lazer,0
train,2017-01-09,PR,beleza_saude,0
train,2017-01-09,PR,informatica_acessorios,1
train,2017-01-09,SC,cama_mesa_banho,0
train,2017-01-09,SC,moveis_decoracao,0
train,2017-01-09,SC,esporte_lazer,2
train,2017-01-09,SC,beleza_saude,0
train,2017-01-09,SC,informatica_acessorios,0
train,2017-01-09,BA,cama_mesa_banho,0
train,2017-01-09,BA,moveis_decoracao,0
train,2017-01-09,BA,esporte_lazer,0
train,2017-01-09,BA,beleza_saude,1
train,2017-01-09,BA,informatica_acessorios,0
train,2017-01-09,GO,cama_mesa_banho,0
train,2017-01-09,GO,moveis_decoracao,0
train,2017-01-09,GO,esporte_lazer,0
train,2017-01-09,GO,beleza_saude,0
train,2017-01-09,GO,informatica_acessorios,2
train,2017-01-16,SP,cama_mesa_banho,5
train,2017-01-16,SP,moveis_decoracao,38
train,2017-01-16,SP,esporte_lazer,13
train,2017-01-16,SP,beleza_saude,6
train,2017-01-16,SP,informatica_acessorios,1
train,2017-01-16,RJ,cama_mesa_banho,1
train,2017-01-16,RJ,moveis_decoracao,10
train,2017-01-16,RJ,esporte_lazer,1
train,2017-01-16,RJ,beleza_saude,2
train,2017-01-16,RJ,informatica_acessorios,0
train,2017-01-16,MG,cama_mesa_banho,1
train,2017-01-16,MG,moveis_decoracao,10
train,2017-01-16,MG,esporte_lazer,0
train,2017-01-16,MG,beleza_saude,3
train,2017-01-16,MG,informatica_acessorios,2
train,2017-01-16,RS,cama_mesa_banho,0
train,2017-01-16,RS,moveis_decoracao,1
train,2017-01-16,RS,esporte_lazer,1
train,2017-01-16,RS,beleza_saude,2
train,2017-01-16,RS,informatica_acessorios,0
train,2017-01-16,PR,cama_mesa_banho,0
train,2017-01-16,PR,moveis_decoracao,0
train,2017-01-16,PR,esporte_lazer,1
train,2017-01-16,PR,beleza_saude,0
train,2017-01-16,PR,informatica_acessorios,0
train,2017-01-16,SC,cama_mesa_banho,1
train,2017-01-16,SC,moveis_decoracao,1
train,2017-01-16,SC,esporte_lazer,0
train,2017-01-16,SC,beleza_saude,0
train,2017-01-16,SC,informatica_acessorios,0
train,2017-01-16,BA,cama_mesa_banho,0
train,2017-01-16,BA,moveis_decoracao,0
train,2017-01-16,BA,esporte_lazer,1
train,2017-01-16,BA,beleza_saude,0
train,2017-01-16,BA,informatica_acessorios,0
train,2017-01-16,GO,cama_mesa_banho,0
train,2017-01-16,GO,moveis_decoracao,0
train,2017-01-16,GO,esporte_lazer,1
train,2017-01-16,GO,beleza_saude,0
train,2017-01-16,GO,informatica_acessorios,1
train,2017-01-23,SP,cama_mesa_banho,3
train,2017-01-23,SP,moveis_decoracao,31
train,2017-01-23,SP,esporte_lazer,19
train,2017-01-23,SP,beleza_saude,17
train,2017-01-23,SP,informatica_acessorios,10
train,2017-01-23,RJ,cama_mesa_banho,6
train,2017-01-23,RJ,moveis_decoracao,3
train,2017-01-23,RJ,esporte_lazer,4
train,2017-01-23,RJ,beleza_saude,2
train,2017-01-23,RJ,informatica_acessorios,1
train,2017-01-23,MG,cama_mesa_banho,2
train,2017-01-23,MG,moveis_decoracao,4
train,2017-01-23,MG,esporte_lazer,2
train,2017-01-23,MG,beleza_saude,6
train,2017-01-23,MG,informatica_acessorios,1
train,2017-01-23,RS,cama_mesa_banho,2
train,2017-01-23,RS,moveis_decoracao,6
train,2017-01-23,RS,esporte_lazer,6
train,2017-01-23,RS,beleza_saude,5
train,2017-01-23,RS,informatica_acessorios,2
train,2017-01-23,PR,cama_mesa_banho,3
train,2017-01-23,PR,moveis_decoracao,2
train,2017-01-23,PR,esporte_lazer,1
train,2017-01-23,PR,beleza_saude,5
train,2017-01-23,PR,informatica_acessorios,1
train,2017-01-23,SC,cama_mesa_banho,0
train,2017-01-23,SC,moveis_decoracao,4
train,2017-01-23,SC,esporte_lazer,0
train,2017-01-23,SC,beleza_saude,1
train,2017-01-23,SC,informatica_acessorios,0
train,2017-01-23,BA,cama_mesa_banho,0
train,2017-01-23,BA,moveis_decoracao,3
train,2017-01-23,BA,esporte_lazer,0
train,2017-01-23,BA,beleza_saude,3
train,2017-01-23,BA,informatica_acessorios,1
train,2017-01-23,GO,cama_mesa_banho,0
train,2017-01-23,GO,moveis_decoracao,0
train,2017-01-23,GO,esporte_lazer,0
train,2017-01-23,GO,beleza_saude,2
train,2017-01-23,GO,informatica_acessorios,0
train,2017-01-30,SP,cama_mesa_banho,15
train,2017-01-30,SP,moveis_decoracao,28
train,2017-01-30,SP,esporte_lazer,11
train,2017-01-30,SP,beleza_saude,23
train,2017-01-30,SP,informatica_acessorios,9
train,2017-01-30,RJ,cama_mesa_banho,4
train,2017-01-30,RJ,moveis_decoracao,16
train,2017-01-30,RJ,esporte_lazer,6
train,2017-01-30,RJ,beleza_saude,9
train,2017-01-30,RJ,informatica_acessorios,2
train,2017-01-30,MG,cama_mesa_banho,4
train,2017-01-30,MG,moveis_decoracao,11
train,2017-01-30,MG,esporte_lazer,3
train,2017-01-30,MG,beleza_saude,5
train,2017-01-30,MG,informatica_acessorios,2
train,2017-01-30,RS,cama_mesa_banho,1
train,2017-01-30,RS,moveis_decoracao,5
train,2017-01-30,RS,esporte_lazer,0
train,2017-01-30,RS,beleza_saude,3
train,2017-01-30,RS,informatica_acessorios,0
train,2017-01-30,PR,cama_mesa_banho,7
train,2017-01-30,PR,moveis_decoracao,3
train,2017-01-30,PR,esporte_lazer,4
train,2017-01-30,PR,beleza_saude,5
train,2017-01-30,PR,informatica_acessorios,1
train,2017-01-30,SC,cama_mesa_banho,1
train,2017-01-30,SC,moveis_decoracao,0
train,2017-01-30,SC,esporte_lazer,7
train,2017-01-30,SC,beleza_saude,0
train,2017-01-30,SC,informatica_acessorios,0
train,2017-01-30,BA,cama_mesa_banho,0
train,2017-01-30,BA,moveis_decoracao,2
train,2017-01-30,BA,esporte_lazer,2
train,2017-01-30,BA,beleza_saude,2
train,2017-01-30,BA,informatica_acessorios,0
train,2017-01-30,GO,cama_mesa_banho,0
train,2017-01-30,GO,moveis_decoracao,0
train,2017-01-30,GO,esporte_lazer,0
train,2017-01-30,GO,beleza_saude,0
train,2017-01-30,GO,informatica_acessorios,0
train,2017-02-06,SP,cama_mesa_banho,17
train,2017-02-06,SP,moveis_decoracao,25
train,2017-02-06,SP,esporte_lazer,26
train,2017-02-06,SP,beleza_saude,22
train,2017-02-06,SP,informatica_acessorios,9
train,2017-02-06,RJ,cama_mesa_banho,10
train,2017-02-06,RJ,moveis_decoracao,6
train,2017-02-06,RJ,esporte_lazer,5
train,2017-02-06,RJ,beleza_saude,5
train,2017-02-06,RJ,informatica_acessorios,4
train,2017-02-06,MG,cama_mesa_banho,8
train,2017-02-06,MG,moveis_decoracao,9
train,2017-02-06,MG,esporte_lazer,10
train,2017-02-06,MG,beleza_saude,4
train,2017-02-06,MG,informatica_acessorios,8
train,2017-02-06,RS,cama_mesa_banho,0
train,2017-02-06,RS,moveis_decoracao,5
train,2017-02-06,RS,esporte_lazer,1
train,2017-02-06,RS,beleza_saude,1
train,2017-02-06,RS,informatica_acessorios,2
train,2017-02-06,PR,cama_mesa_banho,5
train,2017-02-06,PR,moveis_decoracao,5
train,2017-02-06,PR,esporte_lazer,2
train,2017-02-06,PR,beleza_saude,1
train,2017-02-06,PR,informatica_acessorios,0
